 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,31,85,31,85,
,総トン数,,"391,716","1,074,060","391,716","1,074,060",
取扱貨物,計,計,"1,006,950","2,706,545","1,006,950","2,706,545",
,,出荷,"515,700","1,398,020","515,700","1,398,020",
,,入荷,"491,250","1,308,525","491,250","1,308,525",
取　扱　台　数,バ　ス,計,13,28,13,28,
,,出荷,5,13,5,13,
,,入荷,8,15,8,15,
,トラック,計,"8,979","24,536","8,979","24,536",
,,出荷,"4,611","12,799","4,611","12,799",
,,入荷,"4,368","11,737","4,368","11,737",
,乗用車,計,"7,354","15,618","7,354","15,618",
,,出荷,"4,509","9,579","4,509","9,579",
,,入荷,"2,845","6,039","2,845","6,039",
乗降人員,計,,"4,763","8,913","4,763","8,913",
,乗船,,"2,584","4,588","2,584","4,588",
,降船,,"2,179","4,325","2,179","4,325",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
