< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,その他化学工業品,再利用資材,産業機械,自動車部品,電気機械
,"1,055,130",100.0%,"172,776","157,866","157,618","122,698","66,158"
,94.2%,,106.6%,92.7%,85.8%,85.4%,94.9%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,電気機械,その他化学工業品,再利用資材
,"176,311",16.7%,"61,323","33,208","12,888","10,789","8,094"
,78.4%,,79.6%,72.4%,100.8%,74.7%,131.2%
北米東岸(カリビア海含む),,,産業機械,自動車部品,その他化学工業品,電気機械,再利用資材
,"65,259",6.2%,"24,625","15,583","4,483","4,457","3,510"
,132.8%,,136.9%,211.0%,102.1%,142.1%,-
北欧・地中海,,,産業機械,その他化学工業品,ゴム製品,電気機械,自動車部品
,"101,331",9.6%,"22,411","19,676","10,188","8,471","6,645"
,87.3%,,87.6%,108.0%,96.2%,96.4%,65.3%
南米西岸,,,再利用資材,その他化学工業品,窯業品,化学薬品,産業機械
,"6,844",0.6%,"3,780","1,391",993,222,186
,295.0%,,5641.8%,222.6%,8275.0%,129.1%,53.3%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他化学工業品,電気機械,自動車部品,製造食品,産業機械
,"2,785",0.3%,890,406,318,294,280
,21.2%,,28.7%,219.5%,27.5%,59.4%,8.9%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,その他化学工業品,再利用資材,産業機械,自動車部品,電気機械
,"479,765",45.5%,"84,506","74,749","53,923","33,745","29,244"
,131.7%,,152.4%,87.6%,148.8%,103.1%,192.2%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,電気機械,金属くず
,"48,560",4.6%,"9,507","8,366","5,552","3,041","2,291"
,109.5%,,62.4%,130.9%,179.0%,76.5%,144.7%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,その他製造工業品,電気機械
,"174,275",16.5%,"57,631","42,675","17,433","8,124","7,651"
,81.5%,,97.3%,97.7%,51.2%,113.0%,55.7%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
