 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,912,306 ","21,787,851 ","4,196,241 ","1,092,793 ","3,103,448 ","11,641,743 ","2,939,620 ","8,702,123 ","3,716,065 ","1,413,344 ","2,302,721 ","10,146,108 ","3,751,248 ","6,394,860 "
公共計,"3,755,817 ","10,021,854 ","1,180,558 ","228,104 ","952,454 ","3,138,731 ","555,563 ","2,583,168 ","2,575,259 ","1,303,416 ","1,271,843 ","6,883,123 ","3,491,375 ","3,391,748 "
ドルフィン,"8,204 ","26,550 ",-,-,-,-,-,-,"8,204 ","8,204 ",-,"26,550 ","26,550 ",-
芝浦ふ頭,"60,973 ","174,163 ",-,-,-,-,-,-,"60,973 ","1,790 ","59,183 ","174,163 ","4,362 ","169,801 "
芝浦物揚場,"8,087 ","23,164 ",-,-,-,-,-,-,"8,087 ","5,946 ","2,141 ","23,164 ","16,028 ","7,136 "
日の出ふ頭,"3,010 ","8,105 ",-,-,-,-,-,-,"3,010 ",-,"3,010 ","8,105 ",-,"8,105 "
竹芝ふ頭,"8,955 ","21,984 ",-,-,-,-,-,-,"8,955 ","5,548 ","3,407 ","21,984 ","14,399 ","7,585 "
品川岸壁,"666,014 ","1,870,843 ","351,340 ","72,502 ","278,838 ","1,022,965 ","197,963 ","825,002 ","314,674 ","193,238 ","121,436 ","847,878 ","516,310 ","331,568 "
品川コンテナ,"343,501 ","1,000,399 ","343,501 ","71,811 ","271,690 ","999,019 ","195,855 ","803,164 ",-,-,-,"1,380 ",690 ,690 
品川外貿,"7,839 ","23,946 ","7,839 ",691 ,"7,148 ","23,946 ","2,108 ","21,838 ",-,-,-,-,-,-
品川内貿,"314,674 ","846,498 ",-,-,-,-,-,-,"314,674 ","193,238 ","121,436 ","846,498 ","515,620 ","330,878 "
月島ふ頭,"1,739 ","4,748 ",-,-,-,-,-,-,"1,739 ",873 ,866 ,"4,748 ","2,647 ","2,101 "
10号西岸壁,"621,153 ","1,639,896 ",-,-,-,-,-,-,"621,153 ","372,682 ","248,471 ","1,639,896 ","973,569 ","666,327 "
10号東岸壁,"35,374 ","90,178 ",-,-,-,-,-,-,"35,374 ",119 ,"35,255 ","90,178 ",345 ,"89,833 "
東京港フェリーふ頭,"1,006,950 ","2,706,545 ",-,-,-,-,-,-,"1,006,950 ","515,700 ","491,250 ","2,706,545 ","1,398,020 ","1,308,525 "
辰巳ふ頭,"29,540 ","89,622 ",-,-,-,-,-,-,"29,540 ","10,796 ","18,744 ","89,622 ","34,842 ","54,780 "
青海コンテナふ頭（公共）,"803,831 ","2,036,207 ","784,547 ","155,552 ","628,995 ","1,986,194 ","357,550 ","1,628,644 ","19,284 ","12,682 ","6,602 ","50,013 ","31,472 ","18,541 "
大井水産物ふ頭,50 ,50 ,50 ,50 ,-,50 ,50 ,-,-,-,-,-,-,-
大井食品ふ頭（OL）,"21,816 ","59,748 ","13,125 ",-,"13,125 ","42,913 ",-,"42,913 ","8,691 ",-,"8,691 ","16,835 ",-,"16,835 "
大井食品ふ頭（OM）,"6,729 ","19,499 ","6,729 ",-,"6,729 ","19,499 ",-,"19,499 ",-,-,-,-,-,-
若洲内貿ふ頭,"55,928 ","154,952 ",-,-,-,-,-,-,"55,928 ","38,128 ","17,800 ","154,952 ","114,906 ","40,046 "
15号地木材ふ頭,"5,615 ","20,095 ","3,485 ",-,"3,485 ","16,933 ",-,"16,933 ","2,130 ",-,"2,130 ","3,162 ","1,032 ","2,130 "
若洲建材ふ頭,"80,532 ","192,315 ",-,-,-,-,-,-,"80,532 ","11,276 ","69,256 ","192,315 ","23,589 ","168,726 "
大井建材ふ頭,"137,842 ","374,630 ",-,-,-,-,-,-,"137,842 ",-,"137,842 ","374,630 ",-,"374,630 "
城南島建設発生土ふ頭,"76,240 ","176,520 ",-,-,-,-,-,-,"76,240 ","76,240 ",-,"176,520 ","176,520 ",-
中央防波堤内側ばら物ふ頭,"21,282 ","62,148 ","21,282 ",-,"21,282 ","50,177 ",-,"50,177 ",-,-,-,"11,971 ","4,291 ","7,680 "
中央防波堤内側建設発生土ふ頭,-,"26,741 ",-,-,-,-,-,-,-,-,-,"26,741 ","26,741 ",-
中央防波堤内側内貿ふ頭,"95,953 ","243,151 ",-,-,-,-,-,-,"95,953 ","50,194 ","45,759 ","243,151 ","125,752 ","117,399 "
東京港埠頭㈱計,"2,911,844 ","8,176,226 ","2,791,382 ","825,954 ","1,965,428 ","7,861,553 ","2,284,915 ","5,576,638 ","120,462 ","50,688 ","69,774 ","314,673 ","121,217 ","193,456 "
青海コンテナふ頭(埠頭㈱),"610,855 ","1,639,067 ","582,784 ","129,045 ","453,739 ","1,599,391 ","343,191 ","1,256,200 ","28,071 ","24,815 ","3,256 ","39,676 ","31,800 ","7,876 "
お台場ライナーふ頭,"72,150 ","221,064 ","51,551 ","36,494 ","15,057 ","168,771 ","124,992 ","43,779 ","20,599 ","1,010 ","19,589 ","52,293 ","3,354 ","48,939 "
大井コンテナふ頭,"2,228,839 ","6,316,095 ","2,157,047 ","660,415 ","1,496,632 ","6,093,391 ","1,816,732 ","4,276,659 ","71,792 ","24,863 ","46,929 ","222,704 ","86,063 ","136,641 "
民間計,"1,244,645 ","3,589,771 ","224,301 ","38,735 ","185,566 ","641,459 ","99,142 ","542,317 ","1,020,344 ","59,240 ","961,104 ","2,948,312 ","138,656 ","2,809,656 "
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
