 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"309,820","118,693","858,468","342,063","91,140","116,731","244,702","335,668","218,680","1,962","613,766","6,395"
,101.3%,105.6%,95.4%,102.2%,90.1%,107.2%,89.0%,103.0%,106.8%,56.8%,98.3%,72.3%
外航計,"287,479","94,804","796,321","288,317","79,907","94,146","214,194","286,362","207,572",658,"582,127","1,955"
,102.9%,111.5%,96.6%,107.2%,92.8%,112.9%,92.2%,107.8%,107.4%,40.3%,98.4%,60.3%
外航定期計,"287,479","94,804","796,321","288,317","79,907","94,146","214,194","286,362","207,572",658,"582,127","1,955"
,102.9%,111.5%,96.6%,107.2%,92.8%,112.9%,92.2%,107.8%,107.4%,40.3%,98.4%,60.3%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"39,720","10,815","111,494","34,777","13,267","10,695","40,610","34,219","26,453",120,"70,884",558
,91.9%,87.1%,97.2%,88.2%,75.4%,92.3%,92.6%,89.3%,103.3%,14.5%,100.1%,51.9%
北米東岸(カリビア海含む),"11,062","1,787","28,567","7,657","5,069","1,747","13,408","7,613","5,993",40,"15,159",44
,84.7%,54.2%,81.1%,116.0%,97.3%,53.8%,90.7%,116.2%,76.3%,80.0%,74.2%,88.0%
北欧・地中海,"15,848","3,091","49,550","8,124","7,490","3,040","21,335","8,016","8,358",51,"28,215",108
,94.2%,245.3%,88.8%,139.9%,84.7%,249.6%,81.3%,142.5%,104.6%,121.4%,95.4%,59.7%
南米西岸,"2,961","1,515","9,389","6,730",513,"1,470","1,322","6,681","2,448",45,"8,067",49
,61.0%,95.8%,70.0%,272.2%,280.3%,101.0%,270.9%,289.5%,52.4%,36.0%,62.4%,29.9%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
