 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,912,306","2,506,137","5,406,169","21,787,851","6,690,868","15,096,983","5,305,532","1,753,366","3,552,166","14,555,769","4,672,283","9,883,486"
外航計,"4,196,241","1,092,793","3,103,448","11,641,743","2,939,620","8,702,123","4,111,672","1,056,249","3,055,423","11,366,724","2,817,435","8,549,289"
外航定期計,"4,111,672","1,056,249","3,055,423","11,366,724","2,817,435","8,549,289","4,111,672","1,056,249","3,055,423","11,366,724","2,817,435","8,549,289"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"569,695","176,311","393,384","1,589,927","536,099","1,053,828","569,695","176,311","393,384","1,589,927","536,099","1,053,828"
北米東岸(カリビア海含む),"152,987","65,259","87,728","393,122","169,188","223,934","152,987","65,259","87,728","393,122","169,188","223,934"
北欧・地中海,"221,713","101,331","120,382","693,411","288,438","404,973","221,713","101,331","120,382","693,411","288,438","404,973"
南米西岸,"41,554","6,844","34,710","132,830","17,771","115,059","41,554","6,844","34,710","132,830","17,771","115,059"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"21,242","2,785","18,457","59,474","7,323","52,151","21,242","2,785","18,457","59,474","7,323","52,151"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,870,148","480,475","1,389,673","5,030,543","1,214,530","3,816,013","1,870,148","480,475","1,389,673","5,030,543","1,214,530","3,816,013"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"167,654","48,560","119,094","459,484","128,206","331,278","167,654","48,560","119,094","459,484","128,206","331,278"
中国(香港含む),"1,066,679","174,684","891,995","3,007,933","455,880","2,552,053","1,066,679","174,684","891,995","3,007,933","455,880","2,552,053"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"84,569","36,544","48,025","275,019","122,185","152,834",-,-,-,-,-,-
内航計,"3,716,065","1,413,344","2,302,721","10,146,108","3,751,248","6,394,860","1,193,860","697,117","496,743","3,189,045","1,854,848","1,334,197"
内航定期計,"2,262,861","1,245,032","1,017,829","6,020,465","3,303,974","2,716,491","1,185,760","691,934","493,826","3,146,044","1,820,069","1,325,975"
北海道,"434,653","246,787","187,866","1,145,674","646,414","499,260","434,653","246,787","187,866","1,145,674","646,414","499,260"
東北,"33,452","19,801","13,651","105,639","56,384","49,255","33,452","19,801","13,651","105,639","56,384","49,255"
関東,"61,196","31,850","29,346","146,701","71,853","74,848",-,-,-,442,-,442
伊豆諸島,"8,955","5,548","3,407","25,961","17,205","8,756",-,-,-,"4,344","3,173","1,171"
中部,"24,187","11,925","12,262","48,677","18,401","30,276","24,187","11,925","12,262","48,677","18,401","30,276"
近畿,"8,932","1,400","7,532","33,849","4,508","29,341","8,932","1,400","7,532","33,849","4,508","29,341"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,565,695","839,325","726,370","4,177,945","2,238,665","1,939,280","558,745","323,625","235,120","1,471,400","840,645","630,755"
沖縄,"125,791","88,396","37,395","336,019","250,544","85,475","125,791","88,396","37,395","336,019","250,544","85,475"
内航不定期,"1,453,204","168,312","1,284,892","4,125,643","447,274","3,678,369","8,100","5,183","2,917","43,001","34,779","8,222"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
