 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
48,揮発油,58,"2,059",-,-,-,-,-,-,-,-,58,184,-,"1,875"
49,その他の石油,"385,614","1,171,400","2,740","7,069","2,740","7,069","1,530","4,846","1,530","4,846","2,550","5,626","378,794","1,153,859"
50,LNG/液化天然ガス,240,735,-,-,-,-,240,735,240,735,-,-,-,-
51,LPG/液化石油ガス,591,"1,858",-,-,-,-,-,-,-,-,576,"1,843",15,15
52,その他石油製品,"4,193","11,014","1,081","2,117","1,081","2,117","1,447","4,320","1,447","4,320",185,807,"1,480","3,770"
53,コークス,695,"14,232",-,-,-,-,695,"3,841",695,"2,270",-,"4,261",-,"6,130"
54,石炭製品,662,"2,071",632,"1,429",632,"1,429",30,622,30,622,-,-,-,20
55,化学薬品,"85,934","250,727","25,860","74,161","25,860","74,161","51,549","149,705","51,549","149,705","3,473","10,708","5,052","16,153"
56,化学肥料,"5,398","18,613",195,427,195,427,"4,533","16,446","4,533","16,446",355,830,315,910
57,その他化学工業品,"392,285","1,065,451","172,776","445,894","172,776","445,889","208,623","585,430","208,610","585,365","6,980","22,191","3,906","11,936"
軽工業品,,"694,897","1,926,955","50,567","136,837","50,555","136,806","398,760","1,105,823","398,495","1,104,976","71,645","200,647","173,925","483,648"
58,紙・パルプ,"220,823","654,844","16,935","48,577","16,923","48,546","61,188","179,138","60,923","178,295","17,142","64,481","125,558","362,648"
59,糸及び紡績半製品,"5,719","14,156",526,"1,137",526,"1,137","5,093","12,885","5,093","12,885",40,74,60,60
60,その他繊維工業品,"29,264","87,947","4,165","11,720","4,165","11,720","24,994","75,858","24,994","75,858",15,180,90,189
61,砂糖,"11,876","33,761",6,118,6,118,"4,196","12,497","4,196","12,497",930,"3,939","6,744","17,207"
62,製造食品,"268,933","730,309","23,662","62,532","23,662","62,532","217,396","591,627","217,396","591,623","16,284","47,845","11,591","28,305"
63,飲料,"94,114","250,817","4,664","11,241","4,664","11,241","52,143","143,006","52,143","143,006","24,700","64,641","12,607","31,929"
64,水,"20,743","51,224",605,"1,026",605,"1,026","13,114","37,411","13,114","37,411","5,449","8,817","1,575","3,970"
65,たばこ,"9,482","26,868",-,21,-,21,"7,947","22,337","7,947","22,337",805,"2,135",730,"2,375"
66,その他食料工業品,"33,943","77,029",4,465,4,465,"12,689","31,064","12,689","31,064","6,280","8,535","14,970","36,965"
雑工業品,,"1,020,021","2,849,584","103,042","265,674","103,039","265,671","873,580","2,470,164","873,538","2,470,039","34,522","91,875","8,877","21,871"
67,がん具,"53,761","135,972","2,523","6,387","2,523","6,387","51,233","129,565","51,233","129,564",5,20,-,-
68,衣服・身廻品・はきもの,"388,084","1,132,199","12,196","35,419","12,196","35,419","373,985","1,090,702","373,985","1,090,701","1,201","5,084",702,994
69,文房具・運動娯楽用品・楽器,"69,190","191,759","11,638","30,362","11,638","30,362","56,375","158,092","56,363","158,005","1,002","3,045",175,260
70,家具装備品,"200,468","560,347","8,385","22,653","8,385","22,653","188,617","528,527","188,617","528,527","2,496","6,601",970,"2,566"
71,その他日用品,"71,151","175,214","10,501","25,431","10,501","25,431","36,533","89,235","36,533","89,235","21,125","53,053","2,992","7,495"
72,ゴム製品,"66,879","188,922","29,805","78,686","29,805","78,686","34,976","104,245","34,976","104,245","1,080","3,453","1,018","2,538"
73,木製品,"111,167","305,429",802,"2,368",799,"2,365","107,797","296,566","107,774","296,543","2,238","6,084",330,411
74,その他製造工業品,"59,321","159,742","27,192","64,368","27,192","64,368","24,064","73,232","24,057","73,219","5,375","14,535","2,690","7,607"
特殊品,,"1,102,543","2,901,761","240,569","657,247","204,692","539,610","203,805","522,149","198,865","517,059","427,493","1,114,364","230,676","608,001"
75,金属くず,"54,908","162,438","46,302","139,293","11,146","22,994","5,845","15,625","5,845","15,625","1,315","3,904","1,446","3,616"
76,再利用資材,"187,086","494,849","157,866","417,165","157,866","417,165","3,567","7,732","3,567","7,732","23,654","64,148","1,999","5,804"
77,動植物性製造飼肥料,"113,110","275,520","1,828","3,229","1,778","3,179","98,216","252,537","98,216","252,537","12,036","17,759","1,030","1,995"
78,廃棄物,"1,256","4,154",-,-,-,-,-,-,-,-,410,"1,070",846,"3,084"
79,廃土砂,"101,257","273,840",-,-,-,-,-,-,-,-,"101,255","273,836",2,4
80,輸送用容器,"136,192","348,548","19,980","48,755","19,309","47,467","86,282","226,676","81,342","221,587","7,518","23,373","22,412","49,744"
81,取合せ品,"508,734","1,342,412","14,593","48,805","14,593","48,805","9,895","19,579","9,895","19,578","281,305","730,274","202,941","543,754"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
