"年度[西暦]","区分","水銀灯[基]","蛍光灯[基]","ナトリウム灯[基]","ガス灯[基]","メタルハライド灯[基]","LED灯[基]","その他[基]","合計[基]"
"2018","共架","142","64","70","0","557","4176","14","5023"
"2018","独立柱","408","124","96","7","2024","1877","98","4634"
"2018","合計","550","188","166","7","2581","6053","112","9657"
"2019","共架","114","45","70","0","517","4259","14","5019"
"2019","独立柱","339","115","86","7","1925","2078","98","4648"
"2019","合計","453","160","156","7","2442","6337","112","9667"
"2020","共架","88","40","70","0","498","4254","14","4964"
"2020","独立柱","257","87","84","7","1830","2344","98","4707"
"2020","合計","345","127","154","7","2328","6598","112","9671"
"2021","共架","48","40","71","0","484","4301","14","4958"
"2021","独立柱","140","70","79","7","1752","2547","98","4693"
"2021","合計","188","110","150","7","2236","6848","112","9651"
"2022","共架","30","40","67","0","459","4345","14","4955"
"2022","独立柱","99","62","68","7","1695","2693","98","4722"
"2022","合計","129","102","135","7","2154","7038","112","9677"

"令和4年度港区行政資料集　街路灯","Ver202204",,,,,,,,
