パーキング・メーター等管理業務委託法人一覧,,,
委託地域,委託法人,所在地,委託期間
千代田区及び中央区,"一般財団法人
東京都交通安全協会",中野区弥生町2丁目4番10号,R5.4.1～R8.3.31
"港区、新宿区の一部、品川区、目黒区、大田区、世田谷区、渋谷区の一部、
八王子市の一部、府中市、調布市、
町田市及び狛江市",株式会社ＧＦＭ,"愛知県名古屋市中村区名駅4丁目26番22号
名駅ビルディング２階",R5.4.1～R8.3.31
新宿区の一部、文京区の一部、渋谷区の一部、中野区、杉並区、練馬区の一部、八王子市の一部、立川市、小金井市及び国分寺市,株式会社　アネシス,千代田区神田小川町3丁目3番地,R5.4.1～R8.3.31
"文京区の一部、豊島区、北区、板橋区
及び練馬区の一部",株式会社　アネシス,千代田区神田小川町3丁目3番地,R5.4.1～R8.3.31
"台東区、墨田区、江東区、荒川区、
葛飾区及び江戸川区",株式会社　アネシス,千代田区神田小川町3丁目3番地,R5.4.1～R8.3.31
