№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリ※１Ｃａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３４Ｃｅｓｉｕｍ－１３４,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３７Ｃｅｓｉｕｍ－１３７,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム合計※２Ｃｅｓｉｕｍｔｏｔａｌ,備考Ｎｏｔｅｓ
３３２,2014/7/9,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．１）ＮＤ,
３３３,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３３４,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,豆腐,豆腐Ｓｏｙｂｅａｎｃｕｒｄ（ｔｏｆｕ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３３５,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,こんにゃく,その他の農産物加工品Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆａｒｍｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜８）ＮＤ,検出せず（＜７）ＮＤ,検出せず（＜２５）ＮＤ,
３３６,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,もめん豆腐,豆腐Ｓｏｙｂｅａｎｃｕｒｄ（ｔｏｆｕ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３３７,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,厚揚げ,豆腐加工品Ｔｏｆｕｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３３８,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,乳等を主要原料とする食品,その他の乳主原Ｏｔｈｅｒｆｏｏｄｕｓｉｎｇｍｉｌｋ，ｅｔｃ．ａｓｐｒｉｎｃｉｐａｌｉｎｇｒｅｄｉｅｎｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３３９,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜８）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３４０,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３４１,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３４２,2014/7/17,2014/7/17,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,充填きぬごしどうふ,豆腐Ｓｏｙｂｅａｎｃｕｒｄ（ｔｏｆｕ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３４３,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,マスタード（粒状）,その他の調味料Ｏｔｈｅｒｓｅａｓｏｎｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
３４４,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,マスタード,その他の調味料Ｏｔｈｅｒｓｅａｓｏｎｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
３４５,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,レモンマーマレード,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
３４６,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ブラッドオレンジマーマレード,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
３４７,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,アンズジャム,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：ドイツＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｇｅｒｍａｎｙ
３４８,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,バルサミコジャム（フィグ）,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
３４９,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,バルサミコジャム（ストロベリー）,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
３５０,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,乾燥キノコ,その他の農産物加工品（きのこ類）Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆｕｎｇｉｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,１７,＜２５,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
３５１,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,乾燥ポルチーニ,その他の農産物加工品（きのこ類）Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆｕｎｇｉｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,Ｇｅ,検出せず（＜５）ＮＤ,２５,２５,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
３５２,2014/7/16,2014/7/24,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,乾燥ポルチーニ,その他の農産物加工品（きのこ類）Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆｕｎｇｉｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜５）ＮＤ,検出せず（＜９）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
３５３,2014/7/16,2014/7/24,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,ヒラメ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３５４,2014/7/16,2014/7/24,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,房総沖ｏｆｆＢｏｓｏ,マイワシ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３５５,2014/7/16,2014/7/24,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,三陸南部沖ｏｆｆｓｏｕｔｈｅｒｎＳａｎｒｉｋｕ,マアジ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３５６,2014/7/16,2014/7/24,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,三陸北部沖ｏｆｆｎｏｒｔｈｅｒｎＳａｎｒｉｋｕ,ゴマサバ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３５７,2014/7/16,2014/7/24,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,青森県Ａｏｍｏｒｉ,生マダラ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３５８,2014/7/16,2014/7/24,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．４）ＮＤ,検出せず（＜０．９）ＮＤ,
３５９,2014/7/16,2014/7/24,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．２）ＮＤ,
３６０,2014/7/16,2014/7/24,販売者Ｓｅｌｌｅｒ,富山県Ｔｏｙａｍａ,緑茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．３）ＮＤ,
３６１,2014/7/16,2014/7/24,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．１）ＮＤ,
３６２,2014/7/16,2014/7/24,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜１．０）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．６）ＮＤ,
３６３,2014/7/24,2014/7/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,プロセスチーズ,プロセスチーズＰｒｏｃｅｓｓｅｄｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３６４,2014/7/24,2014/7/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,プロセスチーズ,プロセスチーズＰｒｏｃｅｓｓｅｄｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３６５,2014/7/24,2014/7/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,新潟県Ｎｉｉｇａｔａ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３６６,2014/7/24,2014/7/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,茨城県Ｉｂａｒａｋｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３６７,2014/7/24,2014/7/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,発酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３６８,2014/7/24,2014/7/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,神奈川県Ｋａｎａｇａｗａ,マアジ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
３６９,2014/7/24,2014/7/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,マイワシ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３７０,2014/7/24,2014/7/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,メカジキ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３７１,2014/7/24,2014/7/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,カツオ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３７２,2014/7/24,2014/7/25,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,ゴマサバ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３７３,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．４）ＮＤ,検出せず（＜１．０）ＮＤ,
３７４,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．５）ＮＤ,
３７５,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,低脂肪牛乳,低脂肪牛乳Ｌｏｗｆａｔｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．２）ＮＤ,
３７６,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,北海道Ｈｏｋｋａｉｄｏ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．３）ＮＤ,
３７７,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,牛乳（常温保存可能品）,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．４）ＮＤ,
３７８,2014/7/23,2014/7/31,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,野菜・果実ミックスジュース（ベビーフード）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜３）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜６）ＮＤ,
３７９,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,はっ酵乳（ベビーフード）,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜７）ＮＤ,
３８０,2014/7/23,2014/7/31,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,魚介煮物（ベビーフード）,加熱済みそうざいＲｅａｄｙｔｏｅａｔｆｏｏｄ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜４）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜７）ＮＤ,
３８１,2014/7/23,2014/7/31,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,和風煮（ベビーフード）,加熱済みそうざいＲｅａｄｙｔｏｅａｔｆｏｏｄ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜３）ＮＤ,検出せず（＜３）ＮＤ,検出せず（＜６）ＮＤ,
３８２,2014/7/23,2014/7/31,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,清涼飲料水（ベビーフード）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,乳児用食品Ｉｎｆａｎｔｆｏｏｄｓ,Ｇｅ,検出せず（＜５）ＮＤ,検出せず（＜４）ＮＤ,検出せず（＜９）ＮＤ,
３８３,2014/7/23,2014/7/31,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,スイカ,ウリ科果実Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３８４,2014/7/23,2014/7/31,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,メロン,ウリ科果実Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３８５,2014/7/23,2014/7/31,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,千葉県Ｃｈｉｂａ,キュウリ,ウリ科野菜Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３８６,2014/7/23,2014/7/31,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,山梨県Ｙａｍａｎａｓｈｉ,プラム,その他の生鮮果実Ｏｔｈｅｒｆｒｅｓｈｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３８７,2014/7/23,2014/7/31,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,山梨県Ｙａｍａｎａｓｈｉ,モモ,その他の生鮮果実Ｏｔｈｅｒｆｒｅｓｈｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
３８８,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,米みそ,みそＦｅｒｍｅｎｔｅｄｂｅａｎ（ｍｉｓｏ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
３８９,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,米みそ,みそＦｅｒｍｅｎｔｅｄｂｅａｎ（ｍｉｓｏ）,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
３９０,2014/7/23,2014/7/31,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ゆでうどん,ゆでめん類Ｂｏｉｌｅｄｎｏｏｄｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３９１,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,ゆでうどん,ゆでめん類Ｂｏｉｌｅｄｎｏｏｄｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
３９２,2014/7/23,2014/7/31,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,なまそば,生めんＦｒｅｓｈｎｏｏｄｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
３９３,2014/7/30,2014/8/5,生産・出荷者Ｆａｒｍｅｒ,山形県Ｙａｍａｇａｔａ,スイカ,ウリ科果実Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｆｒｕｉｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
