№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
1,2013/4/10,2013/4/12,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.2) ND,検出せず(<0.6) ND,検出せず(<0.8) ND,―
2,2013/4/10,2013/4/12,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6) ND,検出せず(<0.6) ND,検出せず(<1.2) ND,―
3,2013/4/10,2013/4/12,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.9) ND,検出せず(<1.7) ND,―
4,2013/4/10,2013/4/12,製造者Manufacturer,埼玉県Saitama,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5) ND,検出せず(<0.7) ND,検出せず(<1.2) ND,―
5,2013/4/10,2013/4/12,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8) ND,検出せず(<0.5) ND,検出せず(<1.3) ND,―
6,2013/4/10,2013/4/12,製造者Manufacturer,神奈川県Kanagawa,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7) ND,検出せず(<0.7) ND,検出せず(<1.4) ND,―
7,2013/4/10,2013/4/12,生産・出荷者Farmer,茨城県Ibaraki,レタス,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
8,2013/4/10,2013/4/12,生産・出荷者Farmer,群馬県Gunma,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<10) ND,検出せず(<25) ND,―
9,2013/4/10,2013/4/12,生産・出荷者Farmer,埼玉県Saitama,コマツナ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
10,2013/4/10,2013/4/12,生産・出荷者Farmer,千葉県Chiba,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<9)ND,検出せず(<25) ND,―
11,2013/4/15,2013/4/18,選別包装者　Grading packager,福島県Fukushima,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
12,2013/4/15,2013/4/18,選別包装者　Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry egg,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
13,2013/4/15,2013/4/18,加工者　Processor,埼玉県Saitama,鶏肉,食鳥肉Poultry meat,一般食品　General foods,NaI,検出せず(<12)　ND,検出せず(<11) ND,検出せず(<25) ND,―
14,2013/4/15,2013/4/18,生産・出荷者Farmer,岩手県Iwate,シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
15,2013/4/15,2013/4/18,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
16,2013/4/15,2013/4/18,生産・出荷者Farmer,千葉県Chiba,ヤマトイモ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
17,2013/4/15,2013/4/18,生産・出荷者Farmer,宮城県Miyagi,アオダイズ,大豆（乾燥）Dried soybean,一般食品　General foods,NaI,検出せず(<13)            ND,検出せず(<11) ND,検出せず(<25) ND,―
18,2013/4/15,2013/4/18,販売者　　　　Seller,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.7) ND,検出せず(<0.5) ND,検出せず(<1.2) ND,―
19,2013/4/15,2013/4/18,製造者Manufacturer,群馬県Gunma,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水　   Drinking water,Ge,検出せず(<0.5) ND,検出せず(<0.5) ND,検出せず(<1.0) ND,―
20,2013/4/15,2013/4/18,製造者Manufacturer,東京都Tokyo,清涼飲料水,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
21,2013/4/15,2013/4/18,製造者Manufacturer,山梨県Yamanashi,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10) ND,検出せず(<25) ND,―
22,2013/4/15,2013/4/18,製造者Manufacturer,岡山県Okayama,洋生菓子,洋生菓子Western type fresh sweets,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
23,2013/4/15,2013/4/18,製造者Manufacturer,長野県Nagano,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<10) ND,検出せず(<9)ND,検出せず(<25) ND,―
