№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
345,2015/7/23,2015/7/24,製造者Manufacturer,東京都Tokyo,クリーム（乳製品）,クリームCream,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
346,2015/7/23,2015/7/24,生産・出荷者Farmer,群馬県Gunma,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
347,2015/7/23,2015/7/24,生産・出荷者Farmer,千葉県Chiba,スイカ,ウリ科果実Cucurbitaceous fruit,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
348,2015/7/23,2015/7/24,生産・出荷者Farmer,群馬県Gunma,ナス,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
349,2015/7/23,2015/7/24,生産・出荷者Farmer,栃木県Tochigi,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
350,2015/7/23,2015/7/24,生産・出荷者Farmer,福島県Fukushima,キュウリ,ウリ科野菜Cucurbitaceous vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
351,2015/7/22,2015/7/29,採取地Sampling point,宮城県Miyagi,マコガレイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
352,2015/7/22,2015/7/29,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
353,2015/7/22,2015/7/29,採取地Sampling point,岩手県Iwate,ゴマサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
354,2015/7/22,2015/7/29,採取地Sampling point,青森県Aomori,ヒラメ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
355,2015/7/22,2015/7/29,採取地Sampling point,三陸北部沖off northern Sanriku,タイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
356,2015/7/22,2015/7/29,製造者Manufacturer,秋田県Akita,木綿豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
357,2015/7/22,2015/7/29,製造者Manufacturer,栃木県Tochigi,島豆腐,豆腐Soybean curd (tofu),一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
358,2015/7/22,2015/7/29,販売者Seller,愛知県Aichi,水煮ダイズ,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
359,2015/7/22,2015/7/29,製造者Manufacturer,神奈川県Kanagawa,こうじ,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
360,2015/7/22,2015/7/29,製造者Manufacturer,新潟県Niigata,切餅,もちRice cake,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
361,2015/7/22,2015/7/29,製造者Manufacturer,茨城県Ibaraki,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
362,2015/7/22,2015/7/29,製造者Manufacturer,千葉県Chiba,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
363,2015/7/22,2015/7/29,製造者Manufacturer,岩手県Iwate,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
364,2015/7/22,2015/7/29,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
365,2015/7/22,2015/7/29,製造者Manufacturer,新潟県Niigata,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
366,2015/7/22,2015/7/29,製造者Manufacturer,千葉県Chiba,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.5)ND,検出せず(<1.2)ND,―
367,2015/7/22,2015/7/29,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.4)ND,検出せず(<1.2)ND,―
368,2015/7/22,2015/7/29,製造者Manufacturer,神奈川県Kanagawa,低脂肪牛乳,低脂肪牛乳Low fat milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.6)ND,検出せず(<1.4)ND,―
369,2015/7/22,2015/7/29,製造者Manufacturer,千葉県Chiba,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.7)ND,検出せず(<1.3)ND,―
370,2015/7/22,2015/7/29,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
371,2015/7/29,2015/8/3,採取地Sampling point,宮城県Miyagi,ギンザケ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
372,2015/7/29,2015/8/3,採取地Sampling point,北海道Hokkaido,ブリ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
373,2015/7/29,2015/8/3,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
374,2015/7/29,2015/8/3,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
375,2015/7/29,2015/8/3,採取地Sampling point,北海道・青森県沖太平洋Hokkaido・Aomori The Pacific,モウカザメ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
376,2015/7/29,2015/8/3,生産・出荷者Farmer,茨城県Ibaraki,カボチャ,ウリ科野菜Cucurbitaceous vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
377,2015/7/29,2015/8/3,生産・出荷者Farmer,山形県Yamagata,アンデスメロン,ウリ科果実Cucurbitaceous fruit,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
378,2015/7/29,2015/8/3,生産・出荷者Farmer,福島県Fukushima,モモ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
379,2015/7/29,2015/8/3,生産・出荷者Farmer,山梨県Yamanashi,プラム,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
380,2015/7/29,2015/8/3,生産・出荷者Farmer,福島県Fukushima,ソルダム,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<7)ND,検出せず(<25)ND,―
381,2015/8/6,2015/8/7,製造者Manufacturer,北海道Hokkaido,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
