№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
1,2015/4/8,2015/4/10,生産・出荷者Farmer,茨城県Ibaraki,コマツナ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
2,2015/4/8,2015/4/10,生産・出荷者Farmer,福島県Fukushima,トマト,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
3,2015/4/8,2015/4/10,生産・出荷者Farmer,茨城県Ibaraki,チンゲンサイ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10 )ND,検出せず(<9)ND,検出せず(<25)ND,―
4,2015/4/8,2015/4/10,生産・出荷者Farmer,茨城県Ibaraki,レンコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10 )ND,検出せず(<9)ND,検出せず(<25)ND,―
5,2015/4/8,2015/4/10,生産・出荷者Farmer,群馬県Gunma,カキナ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
6,2015/4/8,2015/4/10,製造者Manufacturer,茨城県Ibaraki,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.8)ND,検出せず(<1.4)ND,―
7,2015/4/8,2015/4/10,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.9)ND,検出せず(<1.5)ND,―
8,2015/4/8,2015/4/10,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.9)ND,検出せず(<1.7)ND,―
9,2015/4/8,2015/4/10,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
10,2015/4/8,2015/4/10,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6)ND,―
11,2015/4/15,2015/4/21,採取地Sampling point,宮城県Miyagi,ムラサキイガイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
12,2015/4/15,2015/4/21,採取地Sampling point,宮城県Miyagi,メカブ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
13,2015/4/15,2015/4/21,採取地Sampling point,宮城県Miyagi,ムキホヤ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
14,2015/4/15,2015/4/21,採取地Sampling point,千葉県Chiba,タチウオ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
15,2015/4/15,2015/4/21,採取地Sampling point,青森県Aomori,マコガレイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
16,2015/4/15,2015/4/21,製造者Manufacturer,神奈川県Kanagawa,米粒麦,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
17,2015/4/15,2015/4/21,販売者Seller,神奈川県Kanagawa,発芽玄米,その他の穀物Other grain,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
18,2015/4/15,2015/4/21,生産・出荷者Farmer,茨城県Ibaraki,サツマイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
19,2015/4/15,2015/4/21,生産・出荷者Farmer,埼玉県Saitama,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
20,2015/4/15,2015/4/21,生産・出荷者Farmer,栃木県Tochigi,シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<9)ND,検出せず(<25)ND,―
21,2015/4/15,2015/4/21,製造者Manufacturer,栃木県Tochigi,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
22,2015/4/15,2015/4/21,製造者Manufacturer,岩手県Iwate,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
23,2015/4/15,2015/4/21,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
24,2015/4/15,2015/4/21,製造者Manufacturer,東京都Tokyo,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
25,2015/4/15,2015/4/21,製造者Manufacturer,茨城県Ibaraki,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
26,2015/4/15,2015/4/21,採取地Sampling point,千葉県Chiba,カツオ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
27,2015/4/15,2015/4/21,採取地Sampling point,青森県Aomori,ヤリイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
28,2015/4/15,2015/4/21,採取地Sampling point,宮城県Miyagi,メカジキ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
29,2015/4/15,2015/4/21,採取地Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
30,2015/4/15,2015/4/21,採取地Sampling point,北海道Hokkaido,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
31,2015/4/23,2015/4/24,生産・出荷者Farmer,青森県Aomori,リンゴ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
32,2015/4/23,2015/4/24,生産・出荷者Farmer,神奈川県Kanagawa,キャベツ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
33,2015/4/23,2015/4/24,生産・出荷者Farmer,千葉県Chiba,ナガネギ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
34,2015/4/23,2015/4/24,生産・出荷者Farmer,埼玉県Saitama,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
35,2015/4/23,2015/4/24,生産・出荷者Farmer,千葉県Chiba,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,11,<25,―
36,2015/4/23,2015/4/24,販売者Seller,静岡県Shizuoka,マヨネーズ,マヨネーズMayonnaise,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
37,2015/4/23,2015/4/24,販売者Seller,東京都Tokyo,惣菜（ハンバーグ）,その他のそうざい類Ready to eat food,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
38,2015/4/23,2015/4/24,製造者Manufacturer,富山県Toyama,フランクフルトソーセージ,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
39,2015/4/23,2015/4/24,製造者Manufacturer,宮城県Miyagi,焼豚,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
40,2015/4/23,2015/4/24,製造者Manufacturer,東京都Tokyo,ロースハム（スライス）,加熱食肉製品（加熱後包装）heated meat products (packed in package after being heat-sterilized),一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
41,2015/4/22,2015/4/27,製造者Manufacturer,山形県Yamagata,西洋ナシジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
42,2015/4/22,2015/4/27,製造者Manufacturer,山形県Yamagata,ブドウジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
43,2015/4/22,2015/4/27,製造者Manufacturer,山形県Yamagata,リンゴジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
44,2015/4/22,2015/4/27,販売者Seller,千葉県Chiba,果実・野菜ミックスジュース,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
45,2015/4/22,2015/4/27,販売者Seller,東京都Tokyo,生菓子,その他の生菓子Other fresh sweets,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
46,2015/4/22,2015/4/27,製造者Manufacturer,神奈川県Kanagawa,加工乳,加工乳Processed milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3)ND,―
47,2015/4/22,2015/4/27,製造者Manufacturer,東京都Tokyo,加工乳,加工乳Processed milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
48,2015/4/22,2015/4/27,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<1.0)ND,検出せず(<1.9)ND,―
49,2015/4/22,2015/4/27,製造者Manufacturer,神奈川県Kanagawa,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6)ND,―
50,2015/4/22,2015/4/27,製造者Manufacturer,神奈川県Kanagawa,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.8)ND,検出せず(<1.4)ND,―
51,2015/4/22,2015/4/27,製造者Manufacturer,北海道Hokkaido,米味噌,みそFermented bean (miso),一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
52,2015/4/22,2015/4/27,販売者Seller,兵庫県Hyogo,こしあん,あん類Bean jam,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
53,2015/4/22,2015/4/27,販売者Seller,神奈川県Kanagawa,コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<7)ND,検出せず(<11)ND,検出せず(<25)ND,―
54,2015/4/22,2015/4/27,製造者Manufacturer,新潟県Niigata,ダイズテンペ,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
55,2015/4/22,2015/4/27,販売者Seller,静岡県Shizuoka,ダイズ（ドライパック）,豆類の加工品Bean product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
56,2015/4/22,2015/4/27,製造者Manufacturer,静岡県Shizuoka,カツオなまりぶし,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
57,2015/4/22,2015/4/27,製造者Manufacturer,北海道Hokkaido,イカ塩辛,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
58,2015/4/22,2015/4/27,製造者Manufacturer,青森県Aomori,サバ水煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
59,2015/4/22,2015/4/27,製造者Manufacturer,青森県Aomori,しめサバ（惣菜）,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
60,2015/4/23,2015/4/27,製造者Manufacturer,宮城県Miyagi,スルメイカ,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
61,2015/5/7,2015/5/13,製造者Manufacturer,東京都Tokyo,調製粉乳（ベビーフード）,調製粉乳Formulated milk powder,乳児用食品Infant foods,Ge,検出せず(<1.0)ND,検出せず(<1.2)ND,検出せず(<2.2)ND,―
62,2015/5/7,2015/5/13,販売者Seller,北海道Hokkaido,煮込みうどん（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
63,2015/5/7,2015/5/13,販売者Seller,東京都Tokyo,米飯類（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7)ND,―
64,2015/5/7,2015/5/13,販売者Seller,東京都Tokyo,グラタン（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<5)ND,検出せず(<3)ND,検出せず(<8)ND,―
65,2015/5/7,2015/5/13,販売者Seller,東京都Tokyo,ハンバーグ（ベビーフード）,容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and heating,乳児用食品Infant foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8)ND,―
66,2015/5/7,2015/5/13,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.8)ND,検出せず(<1.4)ND,―
67,2015/5/7,2015/5/13,製造者Manufacturer,群馬県Gunma,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2)ND,―
68,2015/5/7,2015/5/13,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<1.0)ND,検出せず(<1.7)ND,―
69,2015/5/7,2015/5/13,製造者Manufacturer,東京都Tokyo,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.8)ND,検出せず(<1.6)ND,―
70,2015/5/7,2015/5/13,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
71,2015/5/14,2015/5/15,製造者Manufacturer,茨城県Ibaraki,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
72,2015/5/14,2015/5/15,製造者Manufacturer,茨城県Ibaraki,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
73,2015/5/14,2015/5/15,製造者Manufacturer,神奈川県Kanagawa,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<8)ND,検出せず(<25)ND,―
74,2015/5/14,2015/5/15,製造者Manufacturer,茨城県Ibaraki,プロセスチーズ,プロセスチーズProcessed cheese,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
75,2015/5/14,2015/5/15,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
76,2015/5/14,2015/5/15,製造者Manufacturer,神奈川県Kanagawa,焼肉のたれ,ソース類Sauce,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
77,2015/5/14,2015/5/15,製造者Manufacturer,千葉県Chiba,スープ（ポタージュ）,その他の食品Other food,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
78,2015/5/14,2015/5/15,製造者Manufacturer,長野県Nagano,あま酒,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
79,2015/5/14,2015/5/15,販売者Seller,広島県Hiroshima,たたきごぼう（惣菜）,その他のそうざい類Ready to eat food,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
80,2015/5/14,2015/5/15,製造者Manufacturer,新潟県Niigata,たまごとうふ,その他の食品Other food,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
81,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,イチゴジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
82,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,ラズベリージャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
83,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
84,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,カシスジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
85,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,マーマレード,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：デンマークCountry of origin：Denmark
86,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,オリーブペースト,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：ギリシャCountry of origin：Greece
87,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,シリアル,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：ポーランドCountry of origin：Poland
88,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,シリアル,その他の穀類加工品Other grain product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,原産国：リトアニアCountry of origin：Republic of Lithuania
89,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,マッシュルーム,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,原産国：ポーランドCountry of origin：Poland
90,2015/5/13,2015/5/19,輸入者Importer,兵庫県Hyogo,フライドオニオン,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,原産国：オランダCountry of origin：Netherlands
91,2015/5/13,2015/5/19,選別包装者Grading packager,千葉県Chiba,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
92,2015/5/13,2015/5/19,選別包装者Grading packager,群馬県Gunma,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
93,2015/5/13,2015/5/19,選別包装者Grading packager,千葉県Chiba,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
94,2015/5/13,2015/5/19,選別包装者Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
95,2015/5/13,2015/5/19,選別包装者Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
96,2015/5/13,2015/5/19,採取地Sampling point,房総沖off Boso,マサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
97,2015/5/13,2015/5/19,採取地Sampling point,三陸南部沖off southern Sanriku,マサバ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
98,2015/5/13,2015/5/19,採取地Sampling point,房総沖off Boso,イワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
99,2015/5/13,2015/5/19,採取地Sampling point,千葉県Chiba,イナダ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
100,2015/5/13,2015/5/19,採取地Sampling point,千葉県Chiba,カツオ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
101,2015/5/21,2015/5/22,製造者Manufacturer,長野県Nagano,チョコレートスプレッド,その他の食品Other food,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
102,2015/5/21,2015/5/22,製造者Manufacturer,群馬県Gunma,和生菓子,和生菓子Japanese type fresh sweets,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
103,2015/5/21,2015/5/22,製造者Manufacturer,神奈川県Kanagawa,焼肉のたれ,その他の調味料Other seasoning,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
104,2015/5/21,2015/5/22,製造者Manufacturer,千葉県Chiba,チルド焼売,加熱済みそうざいReady to eat food,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
105,2015/5/21,2015/5/22,製造者Manufacturer,静岡県Shizuoka,乳化液状ドレッシング,ドレッシングDressing,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
106,2015/5/21,2015/5/22,製造者Manufacturer,長野県Nagano,ノザワナしょうゆ漬,しょうゆ漬Pickled vegetable,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
107,2015/5/21,2015/5/22,製造者Manufacturer,福島県Fukushima,しょうゆ漬,しょうゆ漬Pickled vegetable,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<8)ND,検出せず(<25)ND,―
108,2015/5/21,2015/5/22,製造者Manufacturer,山形県Yamagata,イチゴジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
109,2015/5/21,2015/5/22,製造者Manufacturer,青森県Aomori,リンゴジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
110,2015/5/21,2015/5/22,製造者Manufacturer,長野県Nagano,モモジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
111,2015/5/20,2015/5/29,製造者Manufacturer,千葉県Chiba,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.6)ND,検出せず(<1.2)ND,―
112,2015/5/20,2015/5/29,製造者Manufacturer,群馬県Gunma,無脂肪牛乳,無脂肪牛乳Skimmed milk,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.8)ND,検出せず(<1.7)ND,―
113,2015/5/20,2015/5/29,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.4)ND,検出せず(<0.8)ND,検出せず(<1.2)ND,―
114,2015/5/20,2015/5/29,製造者Manufacturer,茨城県Ibaraki,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<0.7)ND,検出せず(<1.3)ND,―
115,2015/5/20,2015/5/29,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.3)ND,検出せず(<0.6)ND,検出せず(<0.9)ND,―
116,2015/5/20,2015/5/29,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
117,2015/5/20,2015/5/29,製造者Manufacturer,北海道Hokkaido,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
118,2015/5/20,2015/5/29,製造者Manufacturer,岡山県Okayama,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
119,2015/5/20,2015/5/29,製造者Manufacturer,京都府Kyoto,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
120,2015/5/20,2015/5/29,製造者Manufacturer,新潟県Niigata,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
121,2015/5/20,2015/5/29,販売者Seller,東京都Tokyo,緑茶,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.3)ND,検出せず(<0.9)ND,―
122,2015/5/20,2015/5/29,製造者Manufacturer,埼玉県Saitama,ほうじ茶,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.6)ND,検出せず(<1.1)ND,―
