区分,ネット平成29年(Net2017)構成比(%),ネット令和4年(Net2022)構成比(%)
BP-1／官公庁施設,29.3,29.5
BP-2／教育文化施設,22.9,23.2
BP-3／厚生医療施設,38.2,38.5
BP-4／供給処理施設,18.3,20.1
BC-1／事務所建築物,40.2,39.6
BC-2／専用商業施設,42,41.7
BC-3／住商併用施設,51.5,51.4
BC-4／宿泊・遊興施設,44.2,43.9
BC-5／スポーツ・興行施設,25.9,25.8
BR-1／独立住宅,41.4,41.6
BR-2／集合住宅,40.7,40.5
BI-1／専用工場,42.3,42.2
BI-2／住居併用工場,48.8,48.9
BI-3／倉庫運輸関係施設,40.7,40.6
BA／農林漁業施設,29.3,29.6
