地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
八王子市,Hachioji,52.9,3.6,5.7,3,18.3,4.7,1.4,7.7,2.8
立川市,Tachikawa,55.6,6.4,3.2,4.2,16.7,10.3,0.6,1.6,1.6
武蔵野市,Musashino,69.6,2.6,6.7,1.1,16.9,2.7,0.5,0.1,0.1
三鷹市,Mitaka,64.6,2.6,4.3,2.2,15.7,8.3,1.2,0.6,0.6
青梅市,Ome,53.2,4.6,2.7,2.5,15.7,9.7,0.8,5.4,5.4
府中市,Fuchu,60.2,4.4,9.5,1.8,18.5,4.5,0.2,0.4,0.4
昭島市,Akishima,59.8,4.5,6.5,4,17.8,4.5,0.4,1.3,1.3
調布市,Chofu,59.9,2.3,8.1,1.8,17.6,5.7,0.7,1.9,1.9
町田市,Machida,53.9,3.4,4.1,1.5,17,4.9,1.2,7,7
小金井市,Koganei,64.2,1.9,8.8,1.3,15.9,5.4,1.1,0.8,0.8
小平市,Kodaira,61.2,3.7,7.1,1.2,15.3,8.1,0.3,1.5,1.5
日野市,Hino,54.3,3.6,3.2,3,18.7,5.4,0.7,5.6,5.6
東村山市,Higashimurayama,56.1,3.8,4.9,2.2,15.7,8.4,0.9,4,4
国分寺市,Kokubunji,61.3,3.5,2.7,1.8,15.5,11,0.2,2,2
国立市,Kunitachi,64.6,3.5,2.4,1.7,18.9,6.7,0.5,0.8,0.8
福生市,Fussa,59,7.5,4.4,1.6,20.1,2,0.6,2.4,2.4
狛江市,Komae,67.3,2.5,3.3,1.2,18.2,5.3,0.2,0.9,0.9
東大和市,Higashiyamato,56.8,4.7,6.8,2.7,17.6,6,1.1,2.2,2.2
清瀬市,Kiyose,50.6,3,3.3,2.5,14.9,18.1,0.7,3.4,3.4
東久留米市,Higashikurume,57.6,3.3,4.1,1.6,17,11.3,0.6,2.3,2.3
武蔵村山市,Musashimurayama,53.9,4.4,2.5,7,14,10,0.8,3.7,3.7
多摩市,Tama,44.9,3.2,14.4,2.6,19.3,1.6,0.8,6.7,6.7
稲城市,Inagi,33.4,10.8,9.2,6.3,15.1,6.8,1,8.6,8.6
羽村市,Hamura,65,4.8,3.5,2.3,17.4,4.4,0.2,1.2,1.2
あきる野市,Akiruno,58.8,4.5,1.9,2.9,16.6,7.4,1.5,3.2,3.2
西東京市,Nishitokyo,62.8,3.2,4.6,1.7,17.8,8.3,0.3,0.6,0.6
瑞穂町,Mizuho,58.8,7.1,3,3.5,16.5,5.7,0.5,2.5,2.5
日の出町,Hinode,53.8,3,2.1,1.9,16.1,7.2,2.4,6.8,6.8
