地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.8,12.7,2.5,1.7,2.9,4.5,2.8,0.4,0.4,48.9,14.9,4.2,0.5,2.3,0.6
立川市,Tachikawa,3.2,9.5,2.5,1.2,3.3,5.9,2.7,0.4,1,41.4,21.2,2.3,0.3,3.7,1.4
武蔵野市,Musashino,0.8,10.7,2.4,3.2,3.2,2.6,3.9,0.3,0.5,40.9,29.2,0.8,0.2,0.8,0.2
三鷹市,Mitaka,3.6,13.3,2.8,0.6,1.8,3,2.9,0,0.2,42.1,25.4,2.2,0.4,1.4,0.3
青梅市,Ome,0.7,10.7,4.1,0.9,1.8,4.3,2.6,0.6,0.4,54.9,7.9,6.3,0.6,3.1,0.9
府中市,Fuchu,2.3,11.5,2.7,1.4,2.6,2.6,2.4,0.1,5.5,36.6,21.4,7.8,0.3,2.3,0.4
昭島市,Akishima,1.1,8.1,2.5,2.8,3.1,6.1,3,0.8,1.9,40.1,17.4,7.8,0.4,4.6,0.2
調布市,Chofu,0.4,12.7,2.5,0.6,1.8,3.3,3.4,0.1,3,40.3,27.6,1.7,0.3,1.9,0.4
町田市,Machida,0.4,9.8,2.2,1.1,1.8,4.1,2.4,0.2,0.8,56,17.2,1.6,0.2,1.8,0.5
小金井市,Koganei,1,17.4,1.7,0.8,1.1,2.4,3,0.1,0.4,46.7,23.6,0.5,0.1,0.9,0.3
小平市,Kodaira,0.5,13.7,3.8,0.8,1.3,3.5,3,0.2,0.7,46.1,19.2,5.3,0.2,1.4,0.2
日野市,Hino,0.4,9.7,2.2,1,1.4,2.4,2,0.1,0.8,50.5,20.4,6.5,0.2,2.2,0.2
東村山市,Higashimurayama,0.7,8.5,4.8,3.3,1.8,3.3,3,0.3,0.5,50.1,18,2,0.3,2.5,0.7
国分寺市,Kokubunji,0.6,12.1,1.9,0.4,1.4,2.7,3.1,0.2,0.3,54.7,20.4,0.5,0.2,0.8,0.7
国立市,Kunitachi,0.7,17.5,2.2,3.6,2.1,2.8,3.7,0.2,0.2,39.8,21.8,0.5,0.3,4.2,0.3
福生市,Fussa,1.1,8.2,2.4,0.4,1.9,4.8,4.4,0.6,0.8,47.6,21.5,2.9,0.4,2.4,0.6
狛江市,Komae,0.5,7.5,2.7,0.2,1.1,2,3.3,0,0.5,51.2,28.2,0.7,0.3,1.3,0.4
東大和市,Higashiyamato,0.8,8,2.5,0.5,2.1,5.8,3.5,0.4,0.6,50.9,18.6,3.3,0.3,1.7,1.2
清瀬市,Kiyose,0.9,14.2,7.8,3,0.9,1.8,2.8,0.1,0.5,41.7,21.3,1,0.3,1.1,2.5
東久留米市,Higashikurume,0.4,9.4,1.9,1,1.6,6.1,2.8,0.2,0.4,48.5,20,3,0.4,2,2.3
武蔵村山市,Musashimurayama,0.3,8.1,3,0.6,1.8,7.3,2.5,0.5,0.3,52.4,10.9,6.9,0.5,4.4,0.5
多摩市,Tama,0.5,15.2,3.2,1.8,5.2,4,1.5,0.5,0.6,33.2,31.3,0.8,0.1,1.9,0.3
稲城市,Inagi,0.4,10.2,2.6,2.4,2.9,5.5,2.8,0.1,0.6,41.5,23.5,3.4,0.3,3,0.8
羽村市,Hamura,0.5,5.6,2.3,2.2,2.1,4.5,2.1,0.2,1.3,40.6,11.2,23.2,0.1,3.1,1.1
あきる野市,Akiruno,0.8,8.6,2.3,0.7,1.8,3.2,3.1,1.6,0.7,61.9,5.3,5.6,0.5,2.1,1.7
西東京市,Nishitokyo,0.3,9.3,2.4,0.9,1.8,3.1,3.3,0.2,0.7,49,25.8,1.3,0.2,1.4,0.3
瑞穂町,Mizuho,0.5,4.7,1.7,1.5,2.6,5.7,2,1.4,0.5,39.7,5.3,18.9,1,9.8,4.8
日の出町,Hinode,0.8,5.9,5.3,11.1,2.3,5.2,1.1,0.3,0.1,46.3,2.1,10.4,0.3,4.1,4.7
