地域,Area,平均階数（階）
大島町,Oshima,1.2
利島村,Toshima,1.2
新島村,Niijima,1.3
神津島村,Kozushima,1.5
三宅村,Miyake,1.1
御蔵島村,Mikurajima,1.4
八丈町,Hachijo,1.2
青ヶ島村,Aogashima,1.2
小笠原村,Ogasawara,1.5
