区分,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
H29(2017),16.2,10.3,65.6,7.1,0.8
R4(2022),16.1,10.3,65.9,6.9,0.8
