区分,Area,合計（ha）,L-1／宅地（ha）,L-2／その他（ha）,L-2／（屋外利用地）／内数（ha）,L-3／公園、運動場等（ha）,L-4／未利用地等（ha）,L-5／道路等（ha）,L-5／（道路）／内数（ha）,L-6／農用地（ha）,L-7／水面・河川・水路（ha）,L-8／森林（ha）,L-9／原野（ha）
全域(R4),All area 2017,82888.4,30181.5,3681.9,2175.2,4532.2,1712.6,9649.5,9242.6,4917.3,1225.2,24622.8,2365.5
全域(H29),All area 2012,82889.3,29522.3,3896.1,2396.6,4514.3,1778.1,9537.7,9132.6,5285.2,1229.7,24733.3,2392.6
八王子市,Hachioji,18653.2,4847.6,600.8,408.3,930,366.4,1782.6,1729.5,787.5,212.8,8498,627.5
立川市,Tachikawa,2434.3,1199.9,261.3,123.3,175.2,103.9,374.8,353.6,240.5,18.8,36,24
武蔵野市,Musashino,1076.4,749.5,27.7,27.6,71.7,11.5,181.9,173.3,28.6,4.9,0.6,0.1
三鷹市,Mitaka,1645.7,1068.5,42.6,42,70.7,36.4,259.2,248.7,137.2,19.7,9.7,1.9
青梅市,Ome,10330.6,1490.9,346.9,147.3,314.2,146,541.7,526,473.4,136.7,6729.4,151.4
府中市,Fuchu,2929.8,1642.3,121.3,85.7,279.5,48.9,513.6,479.8,124,45.6,11.6,143.1
昭島市,Akishima,1714,857.1,65.4,65.1,167.6,64.7,261.7,242.7,64.9,53.5,33.9,145.2
調布市,Chofu,2159.4,1248.5,48.9,48.3,181.9,37.3,369.7,334.3,120.2,48.1,40,64.9
町田市,Machida,7159.6,3300.7,230.6,228.5,448.7,126.4,1048.9,1028.9,459,72.8,1267.2,205.4
小金井市,Koganei,1132.3,730.2,21.5,21.2,100.3,14.5,181.2,169.7,61.1,12.4,8.5,2.6
小平市,Kodaira,2045.4,1270.7,75.8,65.8,147.7,24,317.9,301.1,168.5,7.3,31.4,2.2
日野市,Hino,2741.6,1289,90.5,89.3,147.9,75.9,461.1,428.4,128.4,85.7,180.8,282.1
東村山市,Higashimurayama,1715.5,978,67.1,66,100.7,38.5,275.2,254.9,146.7,16.9,70.8,21.6
国分寺市,Kokubunji,1153.9,719.6,41.1,40.7,32.3,21.4,181.6,170,128.5,2.4,23.2,3.9
国立市,Kunitachi,815.9,513.6,28.4,26.7,21.9,13.7,151.8,145.5,53.6,9.3,6.7,16.9
福生市,Fussa,1018.4,386,367.1,47.8,38.7,10.3,137.6,126.9,13.9,11.5,17.4,36
狛江市,Komae,642.8,395.9,14.9,14.7,23.8,7,109.6,106.2,31.4,23.9,5.7,30.5
東大和市,Higashiyamato,1353.4,579.5,51.7,48.6,91,35.5,191.9,188.8,61,147.5,193.3,2.2
清瀬市,Kiyose,1012,519.9,30.8,29.8,34.4,25.8,153.7,145.1,186.7,7.9,35.6,17.1
東久留米市,Higashikurume,1288.8,752.7,43.8,43.5,53.5,20.5,221.4,218.9,147.8,7.8,32.9,8.3
武蔵村山市,Musashimurayama,1542.9,670.3,156.3,57.2,38.2,87.9,182.4,182.4,184,10.4,206.2,7.2
多摩市,Tama,2107.3,932.5,68.2,67.2,303.5,53.6,403.7,386,33.8,40.6,139.6,131.9
稲城市,Inagi,1797,576.8,184.4,55.6,278.3,107.6,264.2,248.5,121.4,27.5,175.3,61.4
羽村市,Hamura,995.7,570.9,85.8,44.2,41.9,22.4,150.3,145.1,37.7,23.9,17.3,45.5
あきる野市,Akiruno,7342.4,1010.2,157.4,102.6,287.8,101.2,363.9,355.4,457.2,142,4553.5,269
西東京市,Nishitokyo,1590.9,1004.7,51.3,51.1,73.1,26.6,284.5,274.4,133.2,4.5,10.3,2.7
瑞穂町,Mizuho,1683.8,537,308.4,87.2,39.7,47.9,171.4,166.5,257.1,5.1,309.2,8
日の出町,Hinode,2805.2,339.2,91.9,39.9,38.1,36.8,111.9,111.9,129.8,25.7,1978.6,53.1
