地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4宿泊・遊興施設構成比(%),BC-5／スポーツ興業施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大島町,Oshima,4.1,8.7,2.7,1.4,1.6,2.6,6,8.5,0.1,49.7,5.4,2.9,0.9,3.4,1.9
利島村,Toshima,2.8,11.1,5.3,6.5,3.2,1.3,2.3,7.2,0.2,32.4,11.7,3.8,0,8.3,3.9
新島村,Niijima,3.7,6.5,2.1,1.8,1.6,1.4,10.8,11.7,0,43.2,4.4,5.7,1,2.5,3.3
神津島村,Kozushima,1.5,8,3.9,2.3,2.3,2.8,7.6,16.6,0.1,39.1,4.7,2.8,0.7,5.2,2.2
三宅村,Miyake,4.8,8.7,2.3,1.4,2,2.1,5.7,7.5,0,47.1,9.3,3.5,0.8,2.6,2.3
御蔵島村,Mikurajima,3.6,14.3,6.3,4.1,4,0.2,2.5,6.8,0,31,16.8,2.3,0.2,3.7,4.2
八丈町,Hachijo,3.3,6.8,2.3,1.7,2,2.9,5.7,7.1,0,49.1,7.1,2.2,0.7,4.4,4.8
青ヶ島村,Aogashima,2.6,14.5,4.6,9.3,2.6,1.2,1.6,7.2,0,12.3,16.6,6.9,5.3,8,7.3
小笠原村,Ogasawara,7.5,11,2,6.3,4.1,2.3,4.6,11.8,0,10.6,26.8,2,0.6,2.5,7.8
