区分,公共施設（棟）,商業施設（棟）,住宅（棟）,工業施設（棟）,農業施設（棟）,合計（棟）,合計構成比(%)
平成29年,28945,73404,898888,30405,7601,1039243,100
令和4年,29159,71814,937403,29111,6958,1074445,100
