区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
H29(2017),14.3,9.1,31.6,44.9
R4(2022),14.4,9.2,32.4,44
