区分,宅地(%),その他(%),公園等(%),未利用地等(%),道路等(%),農用地(%),水面等(%),森林(%),原野(%)
平成29年度,35.6,4.7,5.4,2.1,11.5,6.4,1.5,29.8,2.9
令和4年度,36.4,4.4,5.5,2.1,11.6,5.9,1.5,29.7,2.9
