区分,平成29年(2017)不燃化率（建築面積ベース）構成比(%),令和4年(2022)不燃化率（建築面積ベース）構成比(%)
BP-1／官公庁施設,92.8,93.2
BP-2／教育文化施設,86.7,87.3
BP-3／厚生医療施設,92.6,92.9
BP-4／供給処理施設,97,97.5
BC-1／事務所建築物,89.2,89.6
BC-2／専用商業施設,91.7,92.4
BC-3／住商併用施設,48.5,50.7
BC-4／宿泊・遊興施設,82.9,83.6
BC-5／スポーツ・興行施設,94,94.6
BR-1／独立住宅,14.7,17.5
BR-2／集合住宅,78.9,80.2
BI-1／専用工場,89.4,90.2
BI-2／住居併用工場,41.2,43.2
BI-3／倉庫運輸関係施設,86,87.9
BA／農林漁業施設,31.4,34
