区分,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
H29(2017),56,4.6,5.6,2.7,17.3,7.3,0.9,4.4,1.3
R4(2022),57.3,4.1,5.6,2.6,17.5,6.6,0.9,4.2,1.3
