区分,森林(%),原野(%),宅地(%),その他(%),公園等(%),未利用地等(%),道路等(%),農用地(%),水面等(%)
平成29年度,65.4,20.2,3.6,1.2,0.7,0.5,3.2,5.1,0.2
令和4年度,65.6,20.1,3.6,1,0.8,0.6,3.2,5,0.2
