地域,Area,合計(ha),L-1／宅地(ha),L-2／その他(ha),L-2／（屋外利用地）／内数(ha),L-3／公園、運動場等(ha),L-4／未利用地等(ha),L-5／道路等(ha),L-5／（道路）／内数(ha),L-6／農用地(ha),L-7／水面・河川・水路(ha),L-8／森林(ha),L-9／原野(ha)
全域（R4）,All area(2022),115960.7,30452.6,3929.2,2221.5,4559.5,1737.7,9895.9,9481.8,5168.4,1775.8,55978.5,2463.1
全域（H29）,All area(2017),115961.5,29794.1,4141.4,2442.2,4541.8,1803,9782.2,9369.8,5537,1780.2,56091.2,2490.5
西多摩,WesternTama,57248.4,4605.2,1604.7,515.2,787.7,389.7,1723.3,1671,1620.3,895.6,44961.2,660.7
南多摩,SouthernTama,32458.8,10946.7,1174.6,848.9,2108.3,729.9,3960.4,3821.2,1530.2,439.4,10261,1308.3
北多摩西部,WesternpartofnorthernTama,9014.4,4539.9,604.2,361.6,526.2,327,1344.2,1282.9,732.5,241.8,499.2,199.3
北多摩南部,SouthernpartofnorthernTama,9586.5,5834.9,276.9,239.5,727.9,155.6,1615.1,1512,502.4,154.5,76.2,243
北多摩北部,NorthernpartofnorthernTama,7652.6,4525.9,268.8,256.2,409.3,135.5,1252.8,1194.5,783,44.4,181,51.9
