地域,Area,ネット平成29年(Net2017)構成比(%),ネット令和4年(Net2022)構成比(%)
八王子市,Hachioji,86.5,86.7
立川市,Tachikawa,91.9,93.8
武蔵野市,Musashino,127.1,130.2
三鷹市,Mitaka,101.9,103.7
青梅市,Ome,70.2,71.3
府中市,Fuchu,95.3,96
昭島市,Akishima,84.4,86.4
調布市,Chofu,122.1,118.4
町田市,Machida,78.7,80
小金井市,Koganei,92.8,96.4
小平市,Kodaira,84.6,87.9
日野市,Hino,80.9,82.8
東村山市,Higashimurayama,80.1,82.3
国分寺市,Kokubunji,91.8,95.1
国立市,Kunitachi,100.8,102.7
福生市,Fussa,88.2,88.9
狛江市,Komae,118.9,116.2
東大和市,Higashiyamato,89.1,90.8
清瀬市,Kiyose,86.5,88
東久留米市,Higashikurume,97.1,95.4
武蔵村山市,Musashimurayama,74.6,75.7
多摩市,Tama,108.6,114.2
稲城市,Inagi,96.3,97.2
羽村市,Hamura,80,81.8
あきる野市,Akiruno,61.6,62
西東京市,Nishitokyo,107.8,108.1
瑞穂町,Mizuho,67,67.4
日の出町,Hinode,47.5,47.5
