地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
八王子市,Hachioji,8.3,32
立川市,Tachikawa,17,34.4
武蔵野市,Musashino,26.2,37.6
三鷹市,Mitaka,24.6,37.9
青梅市,Ome,4.7,32.5
府中市,Fuchu,19,33.9
昭島市,Akishima,16.5,32.9
調布市,Chofu,21.6,37.4
町田市,Machida,16.5,35.9
小金井市,Koganei,25.8,40
小平市,Kodaira,24.1,38.8
日野市,Hino,17.2,36.7
東村山市,Higashimurayama,23.5,41.2
国分寺市,Kokubunji,27.7,44.4
国立市,Kunitachi,21.1,33.5
福生市,Fussa,15.1,39.8
狛江市,Komae,28.4,46.1
東大和市,Higashiyamato,16.2,37.7
清瀬市,Kiyose,18.5,35.9
東久留米市,Higashikurume,24.3,41.6
武蔵村山市,Musashimurayama,16.3,37.4
多摩市,Tama,10.5,23.7
稲城市,Inagi,10.2,31.8
羽村市,Hamura,16.9,29.5
あきる野市,Akiruno,5.1,37.3
西東京市,Nishitokyo,29.3,46.4
瑞穂町,Mizuho,9.2,29
日の出町,Hinode,3.3,27.4
