地域,Area,平成29年（2017）中高層化率構成比(%),令和4年（2022）中高層化率構成比(%)
八王子市,Hachioji,14.2,14.4
立川市,Tachikawa,20.5,21
武蔵野市,Musashino,20.3,21.2
三鷹市,Mitaka,14.7,15.4
青梅市,Ome,7,7
府中市,Fuchu,17.5,17.6
昭島市,Akishima,14.4,14.8
調布市,Chofu,19.9,20.1
町田市,Machida,12,12.1
小金井市,Koganei,12,12.4
小平市,Kodaira,14,14
日野市,Hino,13.3,13
東村山市,Higashimurayama,12.8,12.9
国分寺市,Kokubunji,12.2,12.5
国立市,Kunitachi,17.5,18.1
福生市,Fussa,11.8,12
狛江市,Komae,12.7,13.1
東大和市,Higashiyamato,13,12.7
清瀬市,Kiyose,15.7,15.2
東久留米市,Higashikurume,12.1,11.8
武蔵村山市,Musashimurayama,10,9.8
多摩市,Tama,34.4,34.8
稲城市,Inagi,17.2,16.7
羽村市,Hamura,11,10.7
あきる野市,Akiruno,3.4,3.9
西東京市,Nishitokyo,14.9,15
瑞穂町,Mizuho,5,4.1
日の出町,Hinode,2.1,1.9
