地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.6,7.5,2.5,1.1,2.9,5,3.7,0.5,0.3,52.6,15.3,4.7,0.7,2.1,0.4
立川市,Tachikawa,2.3,6.1,2.4,0.7,3.8,6.9,3.6,0.6,1,42.3,21.9,2.5,0.3,4.7,0.7
武蔵野市,Musashino,0.7,7,2.5,0.4,3.6,3.6,5.1,0.5,0.6,43,30.9,0.9,0.3,0.8,0.1
三鷹市,Mitaka,1.2,7.3,2.9,0.3,2.2,3,3.9,0.1,0.3,47.1,27.5,2.2,0.5,1.4,0.2
青梅市,Ome,0.7,5.5,3.8,0.5,1.9,4.4,3.4,0.7,0.4,56.8,8.9,7.6,0.9,3.7,0.8
府中市,Fuchu,1.7,6.8,2.9,1,2.7,3,3.4,0.2,2.3,41.1,23.2,8.5,0.3,2.5,0.4
昭島市,Akishima,0.9,5,2.6,2,3.4,6.4,3.9,0.8,1,42.3,17.7,8.6,0.5,4.8,0.2
調布市,Chofu,0.4,8.4,2.4,0.4,1.9,3.6,4.5,0.1,1.8,43.2,28.7,1.8,0.4,1.9,0.4
町田市,Machida,0.4,6,2.4,0.5,1.8,4.8,3,0.3,0.5,60.2,16.3,1.6,0.2,1.7,0.2
小金井市,Koganei,0.3,9.9,2,0.3,1.2,2.4,3.9,0.2,0.4,51.5,26.1,0.5,0.1,1,0.2
小平市,Kodaira,0.4,7.6,2.8,0.4,1.3,3.7,4.1,0.2,0.4,51.9,21.1,4.6,0.3,1.1,0.1
日野市,Hino,0.4,5.5,2.3,0.7,1.4,2.5,2.5,0.2,0.6,53.3,20,8,0.2,2.2,0.2
東村山市,Higashimurayama,0.5,5.3,4.9,1,1.7,3.3,3.9,0.5,0.3,54.1,18.1,2.5,0.4,2.9,0.5
国分寺市,Kokubunji,0.4,6.5,1.9,0.2,1.5,2.8,4.1,0.3,0.3,57.8,22.2,0.4,0.2,1,0.4
国立市,Kunitachi,0.6,9.7,2.4,2.8,2.2,3.1,5,0.2,0.3,44.8,23.8,0.6,0.4,3.8,0.2
福生市,Fussa,1.2,5.3,2.4,0.2,2,5.3,5.7,0.8,0.7,48.2,21.8,3.6,0.5,2,0.4
狛江市,Komae,0.5,4.5,2.5,0.2,1.1,2,4.2,0,0.5,53.3,28.7,0.7,0.4,1.3,0.3
東大和市,Higashiyamato,0.5,5,2.8,0.5,2,6,4.5,0.4,0.5,53.6,17.3,3.7,0.4,2.1,0.7
清瀬市,Kiyose,0.9,8.6,6.6,1.7,0.9,1.8,4,0.2,0.3,48.9,20.8,1.2,0.4,1.2,2.5
東久留米市,Higashikurume,0.4,5.6,2.1,0.7,1.5,6.2,3.7,0.2,0.5,54,17.4,3.9,0.4,1.9,1.3
武蔵村山市,Musashimurayama,0.3,5.2,2.6,0.1,1.6,6.2,3.1,0.7,0.4,55.1,9.7,8.7,0.6,5.3,0.4
多摩市,Tama,0.5,9,3.2,1.3,5.9,5.4,2.3,0.9,0.6,36.9,30.1,0.9,0.1,2.6,0.2
稲城市,Inagi,0.4,6.8,2.7,2,2.5,6,3.5,0.1,0.6,45,22.8,3.9,0.4,2.7,0.6
羽村市,Hamura,0.5,3.6,2.3,1,1.7,4,2.8,0.2,0.5,41.9,12,24.9,0.2,3.6,0.8
あきる野市,Akiruno,0.7,5.5,2.4,0.3,1.3,3.4,3.8,1,0.8,65.2,6,5.2,0.5,2,1.7
西東京市,Nishitokyo,0.3,5.3,2.6,0.3,1.8,3.1,4.2,0.2,0.4,53,25.4,1.2,0.3,1.6,0.3
瑞穂町,Mizuho,0.5,2.8,1.7,0.7,1.9,5.5,2.4,1.2,0.5,39.5,5.3,21.2,1.3,11.4,4.2
日の出町,Hinode,0.8,4,6,1.5,2.6,4.7,1.5,0.3,0.1,54.5,2.9,11.9,0.4,4.4,4.3
