地域,Area,グロス平成29年(Gross2017)(%),グロス令和4年(Gross2022)(%)
八王子市,Hachioji,9.4,9.6
立川市,Tachikawa,19.4,19.9
武蔵野市,Musashino,30.4,31.6
三鷹市,Mitaka,26,26.8
青梅市,Ome,5.2,5.3
府中市,Fuchu,22.6,22.9
昭島市,Akishima,18.7,19.2
調布市,Chofu,24.7,25.4
町田市,Machida,16.7,17.2
小金井市,Koganei,25.1,26
小平市,Kodaira,22.2,23.2
日野市,Hino,18,18.6
東村山市,Higashimurayama,21.4,21.9
国分寺市,Kokubunji,24.7,25.9
国立市,Kunitachi,24.2,25
福生市,Fussa,15.4,15.5
狛江市,Komae,28.3,28.9
東大和市,Higashiyamato,16.2,16.8
清瀬市,Kiyose,18.8,19.6
東久留米市,Higashikurume,22.9,23.8
武蔵村山市,Musashimurayama,15.9,16.2
多摩市,Tama,16.3,16.9
稲城市,Inagi,11.7,12.4
羽村市,Hamura,22.3,22.7
あきる野市,Akiruno,4.6,4.7
西東京市,Nishitokyo,26.4,27.3
瑞穂町,Mizuho,11.8,11.9
日の出町,Hinode,3.5,3.5
