地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
西多摩,W-Tama,0.9,5.1,3.8,0.6,2.2,3.9,3.7,1.1,0.6,47.6,14.9,10.3,0.6,3.5,1
南多摩,S-Tama,0.6,7.8,2.8,0.7,3.1,4.2,3.6,0.5,0.4,41.1,29.2,3.5,0.4,2,0.2
北多摩西部,NW-Tama,1.3,6.7,2.6,0.7,3.1,5.4,4.6,0.7,0.5,38.2,28.5,3.7,0.4,3.4,0.3
北多摩南部,NS-Tama,1,7.9,3,0.4,3,3.4,4.6,0.3,1.3,33.1,37.7,2.7,0.3,1.2,0.1
北多摩北部,NN-Tama,0.6,6.6,3.5,0.6,1.6,2.9,4.6,0.3,0.4,41.4,32.5,2.9,0.3,1.3,0.4
