区分,建ぺい率ネットNet(%)
BP-1／官公庁,22.4
BP-2／教育文化施設,16.6
BP-3／厚生医療施設,28.4
BP-4／供給処理施設,15.8
BC-1／事務所建築物,29.3
BC-2／専用商業施設,28.5
BC-3／住商併用施設,40.6
BC-4／宿泊・遊興施設,29.9
BC-5／スポーツ・興行施設,3.4
BR-1／独立住宅,25.8
BR-2／集合住宅,29.4
BI-1／専用工場,23.4
BI-2／住居併用工場,33.5
BI-3／倉庫運輸関係施設,23.7
BA／農林漁業施設,22.3
