地域,Area,平成29年グロスGross建ぺい率(%),平成29年ネットNet建ぺい率(%)
西多摩,W-Tama,2.8,35.7
南多摩,S-Tama,12.3,37.4
北多摩西部,NW-Tama,19.3,39
北多摩南部,NS-Tama,25.2,42.8
北多摩北部,NN-Tama,22.6,39.1
