地域,Area,平成29年（2017）平均階数構成比(%),令和4年（2022）平均階数構成比(%)
八王子市,Hachioji,2,2
立川市,Tachikawa,2.1,2.1
武蔵野市,Musashino,2.3,2.3
三鷹市,Mitaka,2.1,2.1
青梅市,Ome,1.8,1.8
府中市,Fuchu,2.1,2.1
昭島市,Akishima,2,2
調布市,Chofu,2.1,2.2
町田市,Machida,2,2
小金井市,Koganei,2.1,2.1
小平市,Kodaira,2,2.1
日野市,Hino,2,2
東村山市,Higashimurayama,2,2
国分寺市,Kokubunji,2.1,2.1
国立市,Kunitachi,2.1,2.1
福生市,Fussa,1.9,2
狛江市,Komae,2.1,2.1
東大和市,Higashiyamato,2,2
清瀬市,Kiyose,2,2
東久留米市,Higashikurume,2,2
武蔵村山市,Musashimurayama,1.9,1.9
多摩市,Tama,2.2,2.3
稲城市,Inagi,2,2.1
羽村市,Hamura,1.9,1.9
あきる野市,Akiruno,1.7,1.8
西東京市,Nishitokyo,2.1,2.1
瑞穂町,Mizuho,1.7,1.7
日の出町,Hinode,1.6,1.6
