地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.6,8.9,2.9,0.8,3.3,4.6,3.8,0.7,0.2,40,27,4.4,0.5,2,0.2
立川市,Tachikawa,3.4,6.3,2.7,0.7,5.1,8.2,3.6,1,0.8,32.9,28.8,2,0.3,4,0.4
武蔵野市,Musashino,0.8,7.5,2.4,0.3,5.8,5.8,5.5,0.8,0.7,28.4,39.7,1.2,0.2,0.7,0.1
三鷹市,Mitaka,1.2,7.2,4.1,0.2,3.1,2.3,4.1,0.1,0.2,35.6,38.5,1.8,0.5,1.1,0.1
青梅市,Ome,0.8,5.3,5.2,0.4,2.6,3.8,3.4,0.7,0.4,49.2,16.3,6.5,0.7,4.2,0.5
府中市,Fuchu,1.5,7.2,4.5,0.7,3.3,3.2,3.4,0.4,2,32.1,33.1,6.1,0.3,2.1,0.2
昭島市,Akishima,1.1,4.7,3.4,1.2,4,5.1,3.9,1.1,0.7,33.4,28.7,7.7,0.4,4.6,0.1
調布市,Chofu,0.5,8.7,2.4,0.4,2.4,3.7,4.7,0.2,2.1,29.9,41.5,1.6,0.4,1.4,0.2
町田市,Machida,0.5,6.9,3,0.6,1.9,4.5,3.4,0.4,0.5,49.8,25.2,1.3,0.2,1.7,0.1
小金井市,Koganei,0.4,11.3,2.1,0.2,1.1,2.5,4.5,0.2,0.5,39.4,36.3,0.4,0.1,0.8,0.1
小平市,Kodaira,0.5,8,3.1,0.3,1.3,2.6,4.6,0.2,0.4,41.3,31.9,4.9,0.3,0.7,0.1
日野市,Hino,0.5,5.8,2.4,0.8,1.5,2.4,2.8,0.2,0.4,45.7,26.9,7.6,0.2,2.6,0.1
東村山市,Higashimurayama,0.6,5.7,4.9,0.9,1.9,2.4,4.6,0.6,0.4,46.9,25.4,2.4,0.4,2.5,0.3
国分寺市,Kokubunji,0.4,7.2,2,0.2,1.9,3.9,5.4,0.3,0.2,46.8,30,0.3,0.2,0.9,0.2
国立市,Kunitachi,0.5,11.6,2,1.9,2.3,2.4,6.2,0.3,0.5,33.4,34.4,0.5,0.3,3.5,0.1
福生市,Fussa,1.4,4.8,3.2,0.1,1.9,4.8,5.9,0.8,0.7,38.8,33.4,2.3,0.4,1.4,0.2
狛江市,Komae,0.6,4.4,3.3,0.1,1.1,1.9,4.2,0,0.4,42.1,40,0.5,0.3,0.8,0.1
東大和市,Higashiyamato,0.4,4.9,3.2,0.4,1.9,4.4,4.2,0.4,0.4,41.5,32.3,3.5,0.3,1.9,0.4
清瀬市,Kiyose,1,9.2,7.8,2.1,0.8,1.1,4.4,0.2,0.4,38.5,31.3,0.8,0.3,0.9,1.3
東久留米市,Higashikurume,0.6,5.2,2.3,0.6,1.5,5.6,3.9,0.2,0.5,43.3,30.5,3.4,0.4,1.4,0.7
武蔵村山市,Musashimurayama,0.4,6.1,3.2,0.1,1.4,5.2,3.3,0.8,0.3,48.1,16.8,8.4,0.6,5.3,0.2
多摩市,Tama,0.4,9.2,2.9,0.8,8.1,5.2,2.4,1.2,0.5,23.2,43.1,0.6,0.1,2.2,0.1
稲城市,Inagi,0.5,5.7,2.8,2.2,2.5,4.6,4.4,0.1,0.4,32.3,39.7,2.6,0.3,1.6,0.3
羽村市,Hamura,0.6,4.1,2.7,1.1,2.3,2.9,3,0.4,0.4,35.5,19.5,23,0.2,4,0.5
あきる野市,Akiruno,1,6.1,3.1,0.2,1.4,3.2,3.9,0.9,1.5,61.9,7.9,4.9,0.5,2.4,1.1
西東京市,Nishitokyo,0.4,4.8,2.8,0.3,2.1,3,4.1,0.2,0.4,39,40.3,1.2,0.2,1,0.2
瑞穂町,Mizuho,0.5,2.9,2,0.8,1.9,4.7,2.4,1.9,0.5,36.8,8.1,20.4,1.3,13.2,2.6
日の出町,Hinode,0.9,3.8,8.2,1.6,2.9,3.1,1.5,0.3,0,55.4,3.6,12.1,0.4,3.3,2.8
