地域,Area,AL-1／田構成比(%),AL-2／畑構成比(%),AL-3／樹園地構成比(%),AL-4／採草地構成比(%)
八王子市,Hachioji,8.4,65.9,25.2,0.6
立川市,Tachikawa,0.3,72.7,26.7,0.3
武蔵野市,Musashino,0,78.2,21.8,0
三鷹市,Mitaka,0.2,80,19.8,0
青梅市,Ome,5.4,50,42.9,1.7
府中市,Fuchu,17.4,64.2,18.4,0
昭島市,Akishima,9.7,67.1,23.3,0
調布市,Chofu,1,67,32.1,0
町田市,Machida,7.3,74.7,17.8,0.2
小金井市,Koganei,0,54.3,45.2,0.5
小平市,Kodaira,0,66.4,33.6,0
日野市,Hino,5.9,76.1,18,0
東村山市,Higashimurayama,0.9,75.5,23.5,0.1
国分寺市,Kokubunji,0,86.9,13.1,0
国立市,Kunitachi,13.7,75.6,10.6,0
福生市,Fussa,0,76.7,23.3,0
狛江市,Komae,0,88.4,11.6,0
東大和市,Higashiyamato,0,63.1,36.8,0.1
清瀬市,Kiyose,0,92.6,7.4,0
東久留米市,Higashikurume,0,74.5,25.5,0
武蔵村山市,Musashimurayama,0.5,71.9,27.4,0.2
多摩市,Tama,5.2,63.9,30.9,0
稲城市,Inagi,7.6,47.8,44.6,0
羽村市,Hamura,11.7,71.2,17,0.1
あきる野市,Akiruno,8.8,58.6,32.6,0
西東京市,Nishitokyo,0.1,83.6,16.3,0
瑞穂町,Mizuho,0,64.8,35,0.2
日の出町,Hinode,2.3,67.6,30.1,0
