区分,R4容積率（ネット）(%)
BP-1／官公庁,72.8
BP-2／教育文化施設,30.2
BP-3／厚生医療施設,114.3
BP-4／供給処理施設,23.7
BC-1／事務所建築物,42.3
BC-2／専用商業施設,40.4
BC-3／住商併用施設,60
BC-4／宿泊・遊興施設,35.7
BC-5／スポーツ・興行施設,34.2
BR-1／独立住宅,43
BR-2／集合住宅,78.7
BI-1／専用工場,35.3
BI-2／住居併用工場,67.8
BI-3／倉庫運輸関係施設,33.7
BA／農林漁業施設,24
