地域,Area,容積率グロスGross(%),容積率ネットNet(%)
大島町,Oshima,1.4,27.8
利島村,Toshima,1.3,35.3
新島村,Niijima,2,44.1
神津島村,Kozushima,1.4,57
三宅村,Miyake,0.8,32
御蔵島村,Mikurajima,0.2,42.3
八丈町,Hachijo,1.7,33.4
青ヶ島村,Aogashima,0.7,27.3
小笠原村,Ogasawara,0.6,41.2
