地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
八王子市,Hachioji,29.4,16.6,46,8
立川市,Tachikawa,39.2,21,35.8,4
武蔵野市,Musashino,40.7,14.9,40.7,3.7
三鷹市,Mitaka,31.6,15.8,47.2,5.4
青梅市,Ome,20.4,15.4,52,12.1
府中市,Fuchu,38.7,20.4,35.8,5
昭島市,Akishima,41.6,20.8,32,5.6
調布市,Chofu,38.4,13.6,43.3,4.7
町田市,Machida,22.7,23.8,48.1,5.4
小金井市,Koganei,28.4,16,50,5.6
小平市,Kodaira,24.8,35.9,34.6,4.6
日野市,Hino,27.3,18.2,50.4,4
東村山市,Higashimurayama,29,31.4,33.8,5.8
国分寺市,Kokubunji,26,26.2,42.7,5.1
国立市,Kunitachi,36.8,16.4,43.5,3.4
福生市,Fussa,25.6,18.3,48.8,7.3
狛江市,Komae,26,14.2,52.2,7.6
東大和市,Higashiyamato,26.9,29,37.3,6.8
清瀬市,Kiyose,33.7,8.8,47.8,9.8
東久留米市,Higashikurume,27.5,14.7,52.2,5.6
武蔵村山市,Musashimurayama,23.3,19.2,51.4,6.2
多摩市,Tama,52.3,13.3,32.1,2.3
稲城市,Inagi,37.7,18.9,34.5,8.9
羽村市,Hamura,26.1,32.8,35,6.2
あきる野市,Akiruno,15.2,11.9,58.2,14.7
西東京市,Nishitokyo,30.8,9.9,53.2,6.1
瑞穂町,Mizuho,25.9,28.9,36.5,8.7
日の出町,Hinode,14.8,22.3,41.1,21.9
