区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
H29(2017),31.3,15.8,29.1,23.9
R4(2022),27.5,19.2,32.5,20.8
