区分,容積率ネットNet(%)
BP-1／官公庁,38.1
BP-2／教育文化施設,28
BP-3／厚生医療施設,40.2
BP-4／供給処理施設,23.1
BC-1／事務所建築物,45.6
BC-2／専用商業施設,37.2
BC-3／住商併用施設,60.1
BC-4／宿泊・遊興施設,46.6
BC-5／スポーツ・興行施設,3.5
BR-1／独立住宅,30
BR-2／集合住宅,57.8
BI-1／専用工場,27.8
BI-2／住居併用工場,49.5
BI-3／倉庫運輸関係施設,27.8
BA／農林漁業施設,24.6
