地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
八王子市,Hachioji,46.7,13,35.7,4.7
立川市,Tachikawa,52,18.1,27.7,2.2
武蔵野市,Musashino,60.5,10.6,26.9,2
三鷹市,Mitaka,47.9,12.8,35.8,3.4
青梅市,Ome,32.2,13.3,46.8,7.7
府中市,Fuchu,53.6,15.6,27.8,3.1
昭島市,Akishima,54.5,16.8,25.5,3.3
調布市,Chofu,57.1,10.2,30.1,2.6
町田市,Machida,35.9,20.7,40,3.5
小金井市,Koganei,44.6,13,38.8,3.6
小平市,Kodaira,39.8,30.2,27.3,2.8
日野市,Hino,38.6,15.6,43,2.8
東村山市,Higashimurayama,39.3,27.5,29.2,3.9
国分寺市,Kokubunji,39.9,22.2,34.6,3.3
国立市,Kunitachi,53.1,12.5,32.5,1.9
福生市,Fussa,40,15.9,39.9,4.2
狛江市,Komae,41.6,11.8,41.3,5.3
東大和市,Higashiyamato,44.2,22.8,29,4
清瀬市,Kiyose,48.7,6.9,38,6.5
東久留米市,Higashikurume,43.6,10.9,42.1,3.5
武蔵村山市,Musashimurayama,34.5,16,45.4,4.1
多摩市,Tama,70.5,8.3,20.1,1.2
稲城市,Inagi,56.3,13.6,25,5
羽村市,Hamura,39.7,26.3,30.1,3.9
あきる野市,Akiruno,21.5,10.5,57.1,10.9
西東京市,Nishitokyo,49,7.8,39.4,3.8
瑞穂町,Mizuho,33.9,25.1,35,6
日の出町,Hinode,19.8,20.3,43.1,16.8
