地域,Area,平成29年(2017)不燃化率（建築面積ベース）構成比(%),令和4年(2022)不燃化率（建築面積ベース）構成比(%)
八王子市,Hachioji,42.9,46
立川市,Tachikawa,59.8,60.2
武蔵野市,Musashino,51.7,55.5
三鷹市,Mitaka,45.5,47.4
青梅市,Ome,35.8,35.9
府中市,Fuchu,56.5,59.2
昭島市,Akishima,62.3,62.4
調布市,Chofu,49.7,52
町田市,Machida,45.5,46.4
小金井市,Koganei,40.7,44.4
小平市,Kodaira,55.6,60.7
日野市,Hino,45.6,45.6
東村山市,Higashimurayama,56.4,60.4
国分寺市,Kokubunji,46.1,52.2
国立市,Kunitachi,50.9,53.1
福生市,Fussa,43.6,43.9
狛江市,Komae,35.5,40.2
東大和市,Higashiyamato,51,55.9
清瀬市,Kiyose,42.2,42.5
東久留米市,Higashikurume,40.5,42.2
武蔵村山市,Musashimurayama,43.1,42.4
多摩市,Tama,65.5,65.6
稲城市,Inagi,55.7,56.6
羽村市,Hamura,59.5,58.9
あきる野市,Akiruno,26.5,27.2
西東京市,Nishitokyo,40.3,40.7
瑞穂町,Mizuho,54.9,54.8
日の出町,Hinode,36.1,37.1
