地域,Area,平成29年(2017)不燃化率(%),令和4年(2022)不燃化率(%)
西多摩,W-Tama,39.5,39.6
南多摩,S-Tama,46.6,48.3
北多摩西部,NW-Tama,53.5,55.4
北多摩南部,NS-Tama,49,51.8
北多摩北部,NN-Tama,48,50.6
