区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
H29(2017),45.4,14.3,35.8,4.6
R4(2022),45.8,15.5,34.7,3.9
