地域,Area,平成29年(2017)（棟）,令和4年(2022)（棟）
八王子市,Hachioji,152198,154917
立川市,Tachikawa,39914,41303
武蔵野市,Musashino,27504,28212
三鷹市,Mitaka,39128,40473
青梅市,Ome,47791,48450
府中市,Fuchu,54125,55675
昭島市,Akishima,27427,28230
調布市,Chofu,44595,46641
町田市,Machida,114407,118385
小金井市,Koganei,27833,29230
小平市,Kodaira,47216,49270
日野市,Hino,45320,47282
東村山市,Higashimurayama,38602,40274
国分寺市,Kokubunji,30061,31951
国立市,Kunitachi,16694,17186
福生市,Fussa,15296,15364
狛江市,Komae,17556,18237
東大和市,Higashiyamato,21024,21862
清瀬市,Kiyose,17776,18673
東久留米市,Higashikurume,29708,31336
武蔵村山市,Musashimurayama,24330,25082
多摩市,Tama,21460,22107
稲城市,Inagi,16720,18361
羽村市,Hamura,16475,16820
あきる野市,Akiruno,37107,37637
西東京市,Nishitokyo,44229,46636
瑞穂町,Mizuho,15454,15573
日の出町,Hinode,9293,9278
