地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
檜原村,Hinohara,14.3,15.3,64.6,5.2,0.5
奥多摩町,Okutama,19.5,11.9,60.1,7.1,1.4
