区分,グロス平成24年(Gross2012)(%),グロス令和4年(Gross2022)(%)
八王子市Hachioji,22.1,22.5
立川市Tachikawa,44.4,46.3
武蔵野市Musashino,86.3,90.6
三鷹市Mitaka,64.2,67.3
青梅市Ome,10,10.3
府中市Fuchu,52.4,53.8
昭島市Akishima,41.6,43.2
調布市Chofu,66.6,68.5
町田市Machida,35.5,36.9
小金井市Koganei,58.5,62.2
小平市Kodaira,51.6,54.6
日野市Hino,37.3,38.9
東村山市Higashimurayama,45.4,46.9
国分寺市Kokubunji,56,59.3
国立市Kunitachi,62.3,64.7
福生市Fussa,33,33.7
狛江市Komae,69.8,71.5
東大和市Higashiyamato,37.4,38.9
清瀬市Kiyose,43.2,45.2
東久留米市Higashikurume,54.1,55.7
武蔵村山市Musashimurayama,31.9,32.9
多摩市Tama,47.3,50.5
稲城市Inagi,29.6,31.2
羽村市Hamura,45.7,46.9
あきる野市Akiruno,8.2,8.5
西東京市Nishitokyo,65.6,68.2
瑞穂町Mizuho,21.2,21.5
日の出町Hinode,5.7,5.7
