地域,Area,平成29年(2017)不燃化率(%),令和4年(2022)不燃化率(%)
西多摩,W-Tama,47.3,47.5
南多摩,S-Tama,59.4,60.9
北多摩西部,NW-Tama,64,65.6
北多摩南部,NS-Tama,62.8,65.1
北多摩北部,NN-Tama,59.7,61.7
