区分,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
H29(2017),19,14.1,54.1,8.7,4.2
R4(2022),19.2,14.7,56.6,4.6,4.9
