区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
H29(2017),29.7,17.9,45,7.5
R4(2022),30.1,19.4,44,6.5
