地域,Area,ネット平成29年(Net2017)(%),ネット令和4年(Net2022)(%)
八王子市,Hachioji,37,36.8
立川市,Tachikawa,40,40.3
武蔵野市,Musashino,44.8,45.3
三鷹市,Mitaka,41.2,41.3
青梅市,Ome,36.6,36.5
府中市,Fuchu,41.1,40.9
昭島市,Akishima,38,38.3
調布市,Chofu,45.3,44
町田市,Machida,37.1,37.3
小金井市,Koganei,39.9,40.3
小平市,Kodaira,36.3,37.3
日野市,Hino,39,39.5
東村山市,Higashimurayama,37.8,38.4
国分寺市,Kokubunji,40.4,41.6
国立市,Kunitachi,39.2,39.7
福生市,Fussa,41.1,40.9
狛江市,Komae,48.3,46.9
東大和市,Higashiyamato,38.5,39.2
清瀬市,Kiyose,37.7,38.1
東久留米市,Higashikurume,41.2,40.8
武蔵村山市,Musashimurayama,37.2,37.3
多摩市,Tama,37.3,38.2
稲城市,Inagi,38.1,38.7
羽村市,Hamura,39.1,39.5
あきる野市,Akiruno,34.4,34.2
西東京市,Nishitokyo,43.4,43.3
瑞穂町,Mizuho,37.1,37.4
日の出町,Hinode,29,29
