地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
大島町,Oshima,19.8,14,59.5,3.7,3
利島村,Toshima,33.6,10.4,46.9,5.2,3.9
新島村,Niijima,20.2,19.1,45.7,9.5,5.5
神津島村,Kozushima,20.5,22.5,47.3,5.6,4.1
三宅村,Miyake,18.1,12.9,59.2,6.2,3.6
御蔵島村,Mikurajima,26.9,10.7,45,3.6,13.8
八丈町,Hachijo,13.9,14.4,63,2.8,5.9
青ヶ島村,Aogashima,38.5,9.2,22.2,18.3,11.8
小笠原村,Ogasawara,34.6,15.4,32.5,3.6,13.8
