地域,Area,令和4年グロスGross容積率(%),令和4年ネットNet容積率(%)
西多摩,W-Tama,5.5,68.1
南多摩,S-Tama,29.4,87.1
北多摩西部,NW-Tama,45.6,90.6
北多摩南部,NS-Tama,65.7,108
北多摩北部,NN-Tama,54.7,92.4
