区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
H29(2017),9.9,9.2,31.1,49.8
R4(2022),10.2,9.4,31.7,48.7
