区分,平成29年（2017）中高層化率構成比(%),令和4年（2022）中高層化率構成比(%)
BP-1／官公庁施設,30.3,31.2
BP-2／教育文化施設,27.5,27.5
BP-3／厚生医療施設,31.1,30.2
BP-4／供給処理施設,12.9,15.4
BC-1／事務所建築物,34.8,35.6
BC-2／専用商業施設,17.7,17
BC-3／住商併用施設,15.8,16.5
BC-4／宿泊・遊興施設,30.9,35.1
BC-5／スポーツ・興行施設,27.7,27.9
BR-1／独立住宅,0,0
BR-2／集合住宅,41.3,41.7
BI-1／専用工場,11.9,11.8
BI-2／住居併用工場,1.4,2.1
BI-3／倉庫運輸関係施設,13.5,14.8
BA／農林漁業施設,0,0
