地域,Area,平成29年(2017)不燃化率（延べ面積ベース）構成比(%),令和4年(2022)不燃化率（延べ面積ベース）構成比(%)
八王子市,Hachioji,57.2,59.7
立川市,Tachikawa,69.6,70.1
武蔵野市,Musashino,68.4,71.1
三鷹市,Mitaka,59,60.8
青梅市,Ome,45.2,45.5
府中市,Fuchu,67,69.1
昭島市,Akishima,71.1,71.3
調布市,Chofu,65.9,67.3
町田市,Machida,55.5,56.5
小金井市,Koganei,53.7,57.6
小平市,Kodaira,65.7,69.9
日野市,Hino,54.2,54.2
東村山市,Higashimurayama,63.3,66.9
国分寺市,Kokubunji,57,62.1
国立市,Kunitachi,63.8,65.6
福生市,Fussa,55.7,55.9
狛江市,Komae,49.5,53.4
東大和市,Higashiyamato,63.4,67
清瀬市,Kiyose,55.4,55.6
東久留米市,Higashikurume,53.6,54.5
武蔵村山市,Musashimurayama,51,50.5
多摩市,Tama,78.2,78.8
稲城市,Inagi,69.8,69.9
羽村市,Hamura,66.5,66
あきる野市,Akiruno,31.3,32
西東京市,Nishitokyo,56.6,56.8
瑞穂町,Mizuho,59.6,59
日の出町,Hinode,39.6,40.1
