地域,Area,平成29年（2017）（ｍ2）,令和4年（2022）（ｍ2）
八王子市,Hachioji,313.2,312.9
立川市,Tachikawa,294.8,290.5
武蔵野市,Musashino,265.8,265.7
三鷹市,Mitaka,265,264
青梅市,Ome,308.9,307.7
府中市,Fuchu,297.7,295
昭島市,Akishima,308.3,303.6
調布市,Chofu,264.3,267.7
町田市,Machida,281.8,278.8
小金井市,Koganei,256.7,249.8
小平市,Kodaira,264.5,257.9
日野市,Hino,279,272.6
東村山市,Higashimurayama,251.6,242.8
国分寺市,Kokubunji,234.3,225.2
国立市,Kunitachi,302,298.9
福生市,Fussa,249.3,251.2
狛江市,Komae,215,217.1
東大和市,Higashiyamato,270.5,265.1
清瀬市,Kiyose,284.1,278.4
東久留米市,Higashikurume,241.7,240.2
武蔵村山市,Musashimurayama,271.1,267.2
多摩市,Tama,427.5,421.8
稲城市,Inagi,329.8,314.2
羽村市,Hamura,345.4,339.4
あきる野市,Akiruno,264.2,268.4
西東京市,Nishitokyo,219,215.4
瑞穂町,Mizuho,345.2,344.8
日の出町,Hinode,362,365.6
