区分,ネット平成29年(Net2017)構成比(%),ネット令和4年(Net2022)構成比(%)
BP-1／官公庁施設,77.6,78.9
BP-2／教育文化施設,57,58.4
BP-3／厚生医療施設,103.8,104.3
BP-4／供給処理施設,34.6,39.2
BC-1／事務所建築物,113.5,113.5
BC-2／専用商業施設,91.7,90.4
BC-3／住商併用施設,126.5,127.2
BC-4／宿泊・遊興施設,120.3,128.4
BC-5／スポーツ・興行施設,58,57.8
BR-1／独立住宅,74.3,75.3
BR-2／集合住宅,144.6,146
BI-1／専用工場,81.4,82
BI-2／住居併用工場,88.2,89.5
BI-3／倉庫運輸関係施設,81.1,84.2
BA／農林漁業施設,33.6,33.8
