区分,平成29年(2017)不燃化率（延べ面積ベース）構成比(%),令和4年(2022)不燃化率（延べ面積ベース）構成比(%)
BP-1／官公庁施設,96,96.3
BP-2／教育文化施設,93,93.4
BP-3／厚生医療施設,95.7,95.9
BP-4／供給処理施設,97.9,98.3
BC-1／事務所建築物,93.9,94.2
BC-2／専用商業施設,94.6,95.1
BC-3／住商併用施設,62.2,64
BC-4／宿泊・遊興施設,90.3,91.3
BC-5／スポーツ・興行施設,96.2,96.7
BR-1／独立住宅,15.9,18.8
BR-2／集合住宅,88.5,89.4
BI-1／専用工場,92.6,93.2
BI-2／住居併用工場,46.3,48.7
BI-3／倉庫運輸関係施設,90.8,92.3
BA／農林漁業施設,29.6,31.9
