区分,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
H29(2017),17.7,12.9,61.9,6.3,1.1
R4(2022),17.6,13.2,61.7,6.4,1.1
