地域,Area,令和4年グロスGross建ぺい率(%),令和4年ネットNet建ぺい率(%)
西多摩,W-Tama,2.9,35.7
南多摩,S-Tama,12.6,37.5
北多摩西部,NW-Tama,19.9,39.5
北多摩南部,NS-Tama,25.9,42.5
北多摩北部,NN-Tama,23.4,39.5
