a,Area,合計(ha),L-1／宅地(ha),L-2／その他(ha),L-2／（屋外利用地）／内数(ha),L-3／公園、運動場等(ha),L-4／未利用地等(ha),L-5／道路等(ha),L-5／（道路）／内数(ha),L-6／農用地(ha),L-7／水面・河川・水路(ha),L-8／森林(ha),L-9／原野(ha)
全域（R4）,All area(2022),33482.4,1212.3,332.6,258.6,257.4,200.3,1059,745.6,1670,67.7,21967.1,6716.1
全域（H29）,All area(2017),33465.3,1206.4,385.4,283.2,234.9,174.5,1055,734.8,1693.1,65.5,21883.8,6766.7
大島町,Oshima,9077.9,453.7,90.8,87.7,101.6,53,299.1,217.7,330.6,17,5805.6,1926.4
利島村,Toshima,406,15.3,2.9,2.9,2.9,0.3,18.4,11.2,9.2,0.1,273.5,83.3
新島村,Niijima,2719.9,121.5,66.6,13.6,37.8,16,101.3,66.8,69.1,0.8,1904.9,402
神津島村,Kozushima,1837.8,45.6,6.5,5.9,10.9,8.2,79.1,36.9,185.2,3.9,1012.3,486.1
三宅村,Miyake,5523.5,138.8,90.2,90.2,7.2,24.5,162,118,93.9,27.1,2391.3,2588.5
御蔵島村,Mikurajima,2039,9.6,1.2,1.2,3.2,0.7,20.1,15.1,28.7,0.6,1706,268.8
八丈町,Hachijo,6906.6,351,36,31.9,67.9,82.3,308,218.9,837.5,8.8,4921,294.2
青ヶ島村,Aogashima,595.4,15.5,3.3,3.3,0.8,5.2,13.5,11.1,42.8,0.1,337.9,176.2
小笠原村,Ogasawara,4376.5,61.3,35.1,21.8,25.2,10,57.4,50,72.9,9.3,3614.6,490.6
